date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1982-10-01,0.0,,,,2.6
1982-10-02,0.0,,,,2.6
1982-10-03,0.3,,,,2.6
1982-10-04,0.3,,,,2.6
1982-10-05,0.3,,,,3.2
1982-10-06,0.3,,,,3.2
1982-10-07,1.0,,,,3.3
1982-10-08,1.0,,,,3.5
1982-10-09,1.0,,,,3.5
1982-10-10,1.0,,,,3.5
1982-10-11,1.0,,,,3.5
1982-10-12,1.0,,,,3.5
1982-10-13,1.0,,,,3.5
1982-10-14,1.0,,,,3.5
1982-10-15,1.0,,,,3.6
1982-10-16,1.0,,,,3.6
1982-10-17,1.1,,,,3.6
1982-10-18,1.6,,,,3.7
1982-10-19,1.6,,,,3.7
1982-10-20,1.6,,,,3.7
1982-10-21,1.6,,,,3.7
1982-10-22,1.8,,,,3.7
1982-10-23,1.8,,,,3.8
1982-10-24,1.8,,,,3.9
1982-10-25,1.8,,,,3.9
1982-10-26,1.8,,,,3.9
1982-10-27,1.8,,,,4.4
1982-10-28,1.8,,,,4.4
1982-10-29,1.8,,,,4.7
1982-10-30,3.3,,,,5.0
1982-10-31,3.3,,,,5.1
1982-11-01,3.3,,,,5.5
1982-11-02,3.3,,,,5.5
1982-11-03,3.7,,,,5.5
1982-11-04,3.8,,,,5.5
1982-11-05,3.8,,,,5.5
1982-11-06,3.9,,,,5.5
1982-11-07,3.9,,,,5.5
1982-11-08,3.9,,,,5.5
1982-11-09,3.9,,,,6.1
1982-11-10,3.9,,,,6.1
1982-11-11,3.9,,,,6.7
1982-11-12,4.6,,,,6.8
1982-11-13,4.6,,,,7.0
1982-11-14,4.6,,,,7.0
1982-11-15,5.0,,,,7.3
1982-11-16,5.3,,,,7.3
1982-11-17,5.4,,,,7.3
1982-11-18,6.1,,,,7.6
1982-11-19,6.3,,,,7.9
1982-11-20,6.3,,,,8.0
1982-11-21,6.9,,,,8.3
1982-11-22,6.9,,,,8.3
1982-11-23,6.9,,,,8.3
1982-11-24,6.9,,,,8.3
1982-11-25,6.9,,,,8.3
1982-11-26,6.9,,,,8.3
1982-11-27,6.9,,,,8.3
1982-11-28,6.9,,,,8.3
1982-11-29,7.6,,,,8.4
1982-11-30,7.6,,,,8.7
1982-12-01,7.7,,,,9.2
1982-12-02,8.0,,,,9.3
1982-12-03,8.0,,,,9.5
1982-12-04,8.1,,,,10.1
1982-12-05,8.1,,,,10.6
1982-12-06,9.0,,,,11.2
1982-12-07,9.0,,,,11.2
1982-12-08,9.1,,,,11.3
1982-12-09,9.1,,,,11.3
1982-12-10,9.1,,,,11.3
1982-12-11,9.1,,,,11.3
1982-12-12,9.1,,,,11.3
1982-12-13,9.1,,,,11.6
1982-12-14,9.1,,,,11.6
1982-12-15,9.6,,,,12.0
1982-12-16,9.6,,,,12.0
1982-12-17,9.6,,,,12.9
1982-12-18,9.6,,,,13.2
1982-12-19,9.6,,,,13.6
1982-12-20,10.9,,,,13.7
1982-12-21,,,,,14.7
1982-12-22,,,,,15.0
1982-12-23,,,,,15.6
1982-12-24,,,,,15.6
1982-12-25,,,,,15.7
1982-12-26,,,,,15.7
1982-12-27,,,,,15.8
1982-12-28,,,,,15.8
1982-12-29,,,,,15.8
1982-12-30,,,,,16.0
1982-12-31,,,,,16.0
1983-01-01,,,,,16.0
1983-01-02,,,,,16.0
1983-01-03,,,,,16.0
1983-01-04,,,,,16.3
1983-01-05,,,,,16.3
1983-01-06,,,,,16.3
1983-01-07,,,,,16.6
1983-01-08,,,,,16.7
1983-01-09,,,,,16.9
1983-01-10,,,,,17.2
1983-01-11,,,,,17.2
1983-01-12,,,,,17.2
1983-01-13,,,,,17.2
1983-01-14,,,,,17.2
1983-01-15,,,,,17.2
1983-01-16,,,,,17.2
1983-01-17,,,,,17.2
1983-01-18,,,,,17.2
1983-01-19,,,,,17.2
1983-01-20,,,,,17.2
1983-01-21,,,,,17.2
1983-01-22,,,,,17.3
1983-01-23,,,,,17.5
1983-01-24,,,,,17.6
1983-01-25,,,,,17.6
1983-01-26,,,,,17.6
1983-01-27,,,,,17.7
1983-01-28,,,,,18.0
1983-01-29,,,,,18.3
1983-01-30,,,,,18.4
1983-01-31,,,,,18.4
1983-02-01,,,,,18.4
1983-02-02,,,,,18.4
1983-02-03,,,,,18.4
1983-02-04,,,,,18.8
1983-02-05,,,,,18.8
1983-02-06,,,,,18.8
1983-02-07,,,,,19.2
1983-02-08,,,,,19.4
1983-02-09,,,,,20.2
1983-02-10,,,,,20.8
1983-02-11,,,,,20.8
1983-02-12,19.5,,,,20.8
1983-02-13,19.5,,,,21.8
1983-02-14,19.5,,,,21.8
1983-02-15,19.5,,,,21.8
1983-02-16,19.5,,,,22.4
1983-02-17,20.6,,,,22.8
1983-02-18,20.6,,,,23.2
1983-02-19,21.0,,,,23.4
1983-02-20,21.0,,,,23.4
1983-02-21,21.0,,,,23.4
1983-02-22,21.0,,,,23.4
1983-02-23,21.0,,,,23.4
1983-02-24,21.0,,,,23.4
