date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1988-10-01,0.0,57.6,,,0.0
1988-10-02,0.0,56.7,,,0.0
1988-10-03,0.0,50.4,,,0.0
1988-10-04,0.0,55.9,,,0.0
1988-10-05,0.0,66.2,,,0.0
1988-10-06,0.0,67.3,,,0.0
1988-10-07,0.0,70.5,,,0.0
1988-10-08,0.0,65.5,,,0.0
1988-10-09,0.0,62.6,,,0.0
1988-10-10,0.0,72.1,,,0.0
1988-10-11,0.0,70.2,,,0.0
1988-10-12,0.0,66.9,,,0.0
1988-10-13,0.0,63.0,,,0.0
1988-10-14,0.0,50.7,,,0.0
1988-10-15,0.7,41.7,,,0.0
1988-10-16,1.7,43.7,,,0.0
1988-10-17,1.7,38.5,,,0.0
1988-10-18,1.7,42.3,,,0.0
1988-10-19,1.8,41.9,,,0.0
1988-10-20,1.8,46.2,,,0.0
1988-10-21,1.8,60.1,,,0.0
1988-10-22,1.8,47.7,,,0.0
1988-10-23,1.8,44.8,,,0.0
1988-10-24,1.8,43.3,,,0.0
1988-10-25,1.8,49.3,,,0.0
1988-10-26,2.3,48.7,,,0.6
1988-10-27,2.3,20.5,,,0.5
1988-10-28,2.3,22.1,,,0.5
1988-10-29,2.4,38.5,,,0.5
1988-10-30,2.4,42.8,,,0.2
1988-10-31,2.4,52.2,,,0.1
1988-11-01,2.4,53.6,,,0.0
1988-11-02,2.4,40.3,,,0.0
1988-11-03,2.6,38.5,,,0.0
1988-11-04,2.6,34.3,,,0.0
1988-11-05,2.7,47.5,,,0.0
1988-11-06,2.7,48.0,,,0.0
1988-11-07,2.7,27.9,,,0.0
1988-11-08,2.7,26.4,,,0.0
1988-11-09,2.8,26.4,,,0.1
1988-11-10,2.8,33.3,,,0.1
1988-11-11,2.8,28.6,,,0.1
1988-11-12,3.1,33.3,,,0.4
1988-11-13,3.4,26.8,,,0.7
1988-11-14,3.7,18.5,,,1.1
1988-11-15,3.7,23.4,,,1.1
1988-11-16,3.8,27.3,,,1.1
1988-11-17,3.8,24.4,,,1.1
1988-11-18,3.9,24.3,,,1.1
1988-11-19,3.9,28.8,,,1.1
1988-11-20,3.9,32.0,,,1.1
1988-11-21,3.9,35.1,,,1.1
1988-11-22,4.3,37.4,,,1.3
1988-11-23,4.5,30.7,,,1.3
1988-11-24,4.5,22.3,,,1.3
1988-11-25,4.7,26.1,,,1.5
1988-11-26,4.9,11.3,,,1.6
1988-11-27,5.0,29.5,,,1.7
1988-11-28,5.0,26.8,,,1.9
1988-11-29,5.1,25.7,,,2.5
1988-11-30,5.1,42.8,,,2.5
1988-12-01,5.1,47.3,,,2.5
1988-12-02,5.1,39.9,,,2.5
1988-12-03,5.1,42.3,,,2.5
1988-12-04,5.2,48.2,,,2.5
1988-12-05,5.2,43.9,,,2.5
1988-12-06,5.2,34.9,,,2.7
1988-12-07,5.3,23.2,,,2.8
1988-12-08,5.4,32.0,,,2.8
1988-12-09,5.4,32.4,,,2.8
1988-12-10,5.4,33.3,,,2.8
1988-12-11,5.5,39.6,,,2.8
1988-12-12,5.5,37.6,,,3.0
1988-12-13,5.9,36.7,,,3.1
1988-12-14,6.0,20.3,,,3.2
1988-12-15,6.2,31.6,,,3.2
1988-12-16,6.2,42.3,,,3.2
1988-12-17,6.3,45.5,,,3.2
1988-12-18,6.3,44.6,,,3.2
1988-12-19,6.5,26.4,,,3.3
1988-12-20,6.6,25.0,,,3.4
1988-12-21,6.6,27.5,,,3.4
1988-12-22,6.6,20.1,,,3.4
1988-12-23,6.6,19.0,,,3.4
1988-12-24,6.7,17.2,,,3.5
1988-12-25,6.8,-3.8,,,3.6
1988-12-26,6.8,10.6,,,3.6
1988-12-27,6.9,15.1,,,3.7
