date,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
2001-06-20,74.3,84.2,65.5
2001-06-21,76.1,91.2,62.2
2001-06-22,74.8,87.4,61.7
2001-06-23,70.7,85.1,55.9
2001-06-24,61.5,80.1,44.8
2001-06-25,55.4,70.9,42.1
2001-06-26,64.4,76.5,53.1
2001-06-27,61.0,77.7,52.5
2001-06-28,62.8,75.9,51.3
2001-06-29,70.2,84.2,54.9
2001-06-30,74.3,86.0,63.9
2001-07-01,72.9,87.8,57.7
2001-07-02,78.1,94.3,62.2
2001-07-03,83.5,99.3,69.6
2001-07-04,84.0,98.6,74.3
2001-07-05,68.7,78.6,58.3
2001-07-06,71.4,85.5,58.3
2001-07-07,70.0,85.1,61.7
2001-07-08,71.2,86.4,61.5
2001-07-09,74.7,93.0,65.3
2001-07-10,71.2,90.9,60.6
2001-07-11,71.8,87.6,59.4
2001-07-12,70.5,86.0,57.7
2001-07-13,72.3,86.7,61.0
2001-07-14,71.4,93.2,58.8
2001-07-15,66.2,79.0,55.9
2001-07-16,55.6,66.9,48.4
2001-07-17,57.2,68.2,48.0
2001-07-18,59.5,73.6,49.3
2001-07-19,63.0,79.5,48.4
2001-07-20,66.4,81.5,54.1
2001-07-21,64.2,78.8,52.0
