date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2001-10-01,0.0,60.8,74.7,50.0,0.0
2001-10-02,0.0,57.2,69.1,47.5,0.0
2001-10-03,0.0,55.2,68.2,45.5,0.0
2001-10-04,0.0,50.7,62.8,37.4,0.0
2001-10-05,0.0,47.1,63.0,31.5,0.0
2001-10-06,0.0,53.4,65.8,43.0,0.0
2001-10-07,0.0,53.2,67.3,42.6,0.0
2001-10-08,0.1,42.1,53.2,29.5,0.0
2001-10-09,0.1,29.7,38.7,23.9,0.0
2001-10-10,0.1,37.8,50.2,23.0,0.0
2001-10-11,0.6,32.7,45.9,23.9,0.3
2001-10-12,0.6,34.7,43.7,21.9,0.2
2001-10-13,0.6,43.7,50.7,38.7,0.0
2001-10-14,0.6,45.0,57.2,32.0,0.0
2001-10-15,0.6,42.8,59.0,26.2,0.0
2001-10-16,0.6,52.5,68.0,37.0,0.0
2001-10-17,0.6,41.0,54.3,29.1,0.0
2001-10-18,0.6,39.6,50.7,23.7,0.0
2001-10-19,0.6,48.9,61.2,38.1,0.0
2001-10-20,0.6,46.8,56.7,38.3,0.0
2001-10-21,0.6,47.7,60.8,36.3,0.0
2001-10-22,0.6,42.8,50.7,32.4,0.0
2001-10-23,0.7,31.5,46.6,23.2,0.0
2001-10-24,0.7,28.8,37.4,21.4,0.0
2001-10-25,0.7,36.9,51.4,23.9,0.0
2001-10-26,0.7,44.1,60.4,32.0,0.0
2001-10-27,0.7,47.1,57.6,36.3,0.0
2001-10-28,0.7,46.6,55.4,40.3,0.0
2001-10-29,0.7,47.8,59.5,39.0,0.0
2001-10-30,1.2,44.6,50.7,32.7,0.0
2001-10-31,1.2,37.0,43.7,32.2,0.0
2001-11-01,1.2,37.8,47.7,32.0,0.0
2001-11-02,1.2,40.1,51.3,29.1,0.0
2001-11-03,1.2,42.8,57.2,32.5,0.0
2001-11-04,1.2,44.4,58.5,32.7,0.0
2001-11-05,1.2,44.2,58.3,36.7,0.0
2001-11-06,1.2,40.8,55.6,28.8,0.0
2001-11-07,1.2,29.3,39.9,21.2,0.0
2001-11-08,1.2,32.9,49.5,21.9,0.0
2001-11-09,1.2,34.5,50.4,21.7,0.0
2001-11-10,1.2,38.1,51.4,30.0,0.0
2001-11-11,1.2,37.9,49.8,28.4,0.0
2001-11-12,1.2,38.8,49.8,32.4,0.0
2001-11-13,1.2,33.3,38.5,24.6,0.0
2001-11-14,1.2,34.3,44.8,25.0,0.0
2001-11-15,1.2,38.8,53.4,29.7,0.0
2001-11-16,1.2,40.6,53.1,31.5,0.0
2001-11-17,1.3,36.1,46.4,29.1,0.0
2001-11-18,1.3,29.5,37.9,21.2,0.0
2001-11-19,1.3,30.9,42.4,21.7,0.0
2001-11-20,1.4,37.9,47.7,28.8,0.1
2001-11-21,1.6,36.7,42.3,31.6,0.3
2001-11-22,2.2,30.2,38.8,23.7,1.0
2001-11-23,2.4,19.8,25.5,10.0,1.3
2001-11-24,2.8,19.8,24.6,11.1,1.8
2001-11-25,2.9,21.2,25.5,19.0,2.0
2001-11-26,3.0,18.0,23.4,14.4,2.1
2001-11-27,3.0,12.7,21.2,2.5,2.1
2001-11-28,3.5,12.7,20.1,3.4,2.8
2001-11-29,3.8,21.9,27.0,16.3,3.2
2001-11-30,3.8,14.4,21.9,9.1,3.2
2001-12-01,3.9,22.1,31.3,12.6,3.7
2001-12-02,4.2,25.2,29.1,20.5,4.2
2001-12-03,4.3,22.6,27.3,17.4,4.3
2001-12-04,4.3,16.2,23.2,5.5,4.3
2001-12-05,4.7,20.8,28.4,5.7,4.7
2001-12-06,4.9,30.7,35.2,24.1,4.9
2001-12-07,4.9,21.2,24.8,14.5,4.9
2001-12-08,5.0,21.0,27.7,13.5,5.0
2001-12-09,5.0,20.8,29.8,15.4,5.0
2001-12-10,5.0,12.6,15.6,6.3,5.0
2001-12-11,5.3,15.3,18.3,13.1,5.3
2001-12-12,5.3,13.1,19.6,6.1,5.3
2001-12-13,5.7,22.6,28.4,11.5,5.7
2001-12-14,6.1,19.8,28.4,8.4,6.1
2001-12-15,6.2,10.6,15.8,4.5,6.2
2001-12-16,6.3,16.9,24.8,7.7,6.3
2001-12-17,6.6,23.4,30.2,14.4,6.6
2001-12-18,6.7,20.7,30.9,12.7,6.7
2001-12-19,6.9,25.7,32.7,17.4,6.9
2001-12-20,6.9,23.0,28.0,16.9,6.9
2001-12-21,6.9,19.9,25.2,14.5,6.9
2001-12-22,6.9,14.4,23.9,4.6,6.9
2001-12-23,6.9,18.3,24.3,11.3,6.9
2001-12-24,6.9,21.4,34.5,12.2,6.9
2001-12-25,6.9,22.6,35.1,16.3,6.9
2001-12-26,7.2,25.0,30.6,20.3,7.2
2001-12-27,7.2,21.6,30.6,11.7,7.2
2001-12-28,7.2,25.0,33.1,18.7,7.2
2001-12-29,7.4,24.6,30.6,17.2,7.4
2001-12-30,7.4,28.4,34.5,25.3,7.4
2001-12-31,7.8,28.0,30.9,26.4,7.8
2002-01-01,7.8,26.6,29.3,24.4,7.8
2002-01-02,7.9,26.4,31.8,24.4,7.9
2002-01-03,8.1,25.9,30.6,21.0,8.1
2002-01-04,8.1,17.6,26.6,9.0,8.1
2002-01-05,8.3,20.7,27.5,13.3,8.3
2002-01-06,8.8,30.9,38.5,24.8,8.8
2002-01-07,8.8,33.3,39.4,30.2,8.8
2002-01-08,8.8,34.0,45.7,26.8,8.8
2002-01-09,8.8,25.7,30.7,16.0,8.8
2002-01-10,8.8,21.7,32.5,13.8,8.8
2002-01-11,8.8,32.5,42.1,23.9,8.8
2002-01-12,8.8,30.0,44.8,21.7,8.8
2002-01-13,8.8,18.3,25.3,10.4,8.8
2002-01-14,8.8,17.8,28.8,12.0,8.8
2002-01-15,9.0,12.9,16.2,10.8,9.0
2002-01-16,9.0,10.9,17.8,5.0,9.0
2002-01-17,9.2,13.6,22.6,6.3,9.2
2002-01-18,9.3,10.2,16.7,0.1,9.3
2002-01-19,9.9,14.2,22.5,0.7,9.9
2002-01-20,10.5,20.5,29.7,7.7,10.5
2002-01-21,10.9,25.0,36.0,14.4,10.9
2002-01-22,10.9,11.7,15.6,7.0,10.9
2002-01-23,11.0,12.4,17.2,9.9,11.0
2002-01-24,11.1,17.1,22.3,12.4,11.1
2002-01-25,11.2,26.2,31.5,20.8,11.2
2002-01-26,11.4,27.3,37.4,19.6,11.4
2002-01-27,11.5,17.2,23.4,11.8,11.5
2002-01-28,11.5,8.1,18.9,0.1,11.5
2002-01-29,11.5,3.9,13.5,-4.0,11.5
2002-01-30,11.5,9.5,14.0,3.2,11.5
2002-01-31,11.5,12.4,18.3,4.5,11.5
2002-02-01,11.6,14.2,21.2,5.2,11.6
2002-02-02,11.6,17.1,25.2,6.8,11.6
2002-02-03,11.6,14.0,27.1,5.4,11.6
2002-02-04,11.6,18.3,31.3,9.5,11.6
2002-02-05,11.7,21.4,30.6,10.4,11.7
2002-02-06,11.7,23.7,32.9,12.9,11.7
2002-02-07,11.7,29.1,38.5,21.9,11.7
2002-02-08,12.0,18.9,32.5,14.9,12.0
