date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2003-10-01,0.1,42.3,60.8,30.2,0.0
2003-10-02,0.2,37.8,44.4,31.3,0.0
2003-10-03,0.2,37.9,50.7,32.4,0.0
2003-10-04,0.2,36.5,44.8,29.5,0.0
2003-10-05,0.2,37.8,57.0,26.8,0.0
2003-10-06,0.2,36.9,58.6,25.2,0.0
2003-10-07,0.2,38.3,56.7,26.8,0.0
2003-10-08,0.2,39.9,60.1,26.8,0.0
2003-10-09,0.2,42.6,66.4,27.1,0.0
2003-10-10,0.3,42.3,61.5,31.6,0.0
2003-10-11,0.3,32.7,50.4,23.0,0.0
2003-10-12,0.4,36.7,57.7,23.5,0.0
2003-10-13,0.4,30.4,42.1,15.4,0.0
2003-10-14,0.4,32.5,53.4,13.8,0.0
2003-10-15,0.4,39.9,53.8,28.8,0.0
2003-10-16,0.4,40.1,53.2,27.1,0.0
2003-10-17,0.4,39.2,62.1,26.6,0.0
2003-10-18,0.4,40.5,64.8,26.6,0.0
2003-10-19,0.4,41.2,67.3,26.4,0.0
2003-10-20,0.4,40.5,64.8,26.6,0.0
2003-10-21,0.4,42.8,68.2,28.8,0.0
2003-10-22,0.4,42.6,67.5,28.8,0.0
2003-10-23,0.4,39.9,60.6,28.4,0.0
2003-10-24,0.4,34.0,51.8,23.4,0.0
2003-10-25,0.4,19.4,34.7,9.3,0.0
2003-10-26,0.5,26.2,38.8,9.3,0.0
2003-10-27,0.6,34.0,45.0,23.5,0.0
2003-10-28,0.6,36.7,45.7,28.2,0.0
2003-10-29,0.6,39.6,55.0,25.5,0.0
2003-10-30,0.6,39.4,52.7,27.3,0.0
2003-10-31,0.6,37.4,48.6,30.4,0.0
2003-11-01,0.6,34.3,38.5,27.7,0.0
2003-11-02,0.8,32.2,39.0,27.5,0.4
2003-11-03,0.8,26.2,36.9,15.8,0.5
2003-11-04,0.8,13.8,29.1,5.5,0.2
2003-11-05,1.0,17.4,28.0,6.6,0.1
2003-11-06,1.0,19.6,34.5,8.1,0.1
2003-11-07,1.0,23.9,37.9,13.5,0.3
2003-11-08,1.0,23.4,39.4,12.2,0.1
2003-11-09,1.3,27.3,46.4,12.6,0.3
2003-11-10,1.5,25.5,30.7,20.7,0.5
2003-11-11,1.5,21.4,30.2,11.5,0.6
2003-11-12,1.9,21.6,36.9,10.8,0.8
2003-11-13,1.9,28.8,47.5,23.4,0.8
2003-11-14,2.1,22.5,27.7,19.2,1.2
2003-11-15,2.1,18.7,31.5,7.7,1.4
2003-11-16,2.4,18.3,37.0,5.5,1.7
2003-11-17,2.7,16.9,26.4,10.0,2.3
2003-11-18,2.7,13.5,25.2,7.3,2.4
2003-11-19,2.7,20.8,47.3,9.3,2.4
2003-11-20,2.7,28.0,47.8,15.6,2.4
2003-11-21,2.7,28.8,41.4,18.3,2.4
2003-11-22,2.7,11.3,28.8,-5.6,2.4
2003-11-23,2.7,-5.6,8.1,-10.8,2.4
2003-11-24,3.2,14.5,34.9,-7.4,2.3
2003-11-25,3.3,16.2,25.9,9.5,2.4
2003-11-26,3.3,9.0,15.4,-1.5,2.5
2003-11-27,3.3,1.0,17.4,-8.3,2.5
2003-11-28,3.3,10.4,34.2,-7.2,2.6
2003-11-29,3.3,25.0,45.0,9.0,2.6
2003-11-30,3.3,31.3,50.0,23.7,2.6
2003-12-01,3.3,29.1,51.6,19.8,2.6
2003-12-02,3.3,23.2,36.9,14.2,2.6
2003-12-03,3.3,16.9,39.0,6.4,2.6
2003-12-04,3.4,16.5,38.1,7.3,2.7
2003-12-05,3.6,23.4,49.3,7.9,2.9
2003-12-06,3.6,32.2,48.0,22.6,2.9
2003-12-07,3.6,26.6,33.8,17.4,2.9
2003-12-08,3.7,19.8,27.9,8.6,3.1
2003-12-09,3.7,5.0,19.6,-4.4,3.1
2003-12-10,3.9,12.9,34.7,0.1,3.3
2003-12-11,3.9,10.0,26.2,2.1,3.3
2003-12-12,4.0,7.9,24.6,-1.8,3.3
2003-12-13,4.3,12.9,20.3,1.4,3.5
2003-12-14,4.4,23.7,38.5,13.3,3.6
2003-12-15,4.4,7.0,17.2,-0.4,3.8
2003-12-16,4.4,3.7,27.1,-11.6,3.8
2003-12-17,4.4,15.3,37.0,3.9,3.9
2003-12-18,4.4,16.5,40.1,7.0,3.9
2003-12-19,4.5,20.7,48.4,10.0,4.0
2003-12-20,4.5,23.9,49.8,12.6,4.0
2003-12-21,4.6,24.6,39.2,12.7,4.1
2003-12-22,4.6,13.5,28.2,0.7,4.0
2003-12-23,4.6,13.8,42.6,0.1,4.1
2003-12-24,4.6,20.1,44.6,8.6,4.1
2003-12-25,4.7,19.6,40.1,8.6,4.2
2003-12-26,4.8,19.9,30.0,8.8,4.3
2003-12-27,4.8,3.9,9.1,-2.7,4.4
2003-12-28,4.8,-2.2,8.4,-7.4,4.4
2003-12-29,5.2,6.4,16.5,-9.4,4.7
2003-12-30,5.3,18.9,27.1,11.7,4.8
