date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2004-10-01,0.0,54.3,66.2,43.7,0.0
2004-10-02,0.0,55.0,67.8,45.7,0.0
2004-10-03,0.0,57.2,71.2,44.1,0.0
2004-10-04,0.0,60.1,73.4,49.3,0.0
2004-10-05,0.0,56.1,63.5,48.0,0.0
2004-10-06,0.1,47.7,51.4,42.1,0.0
2004-10-07,0.1,50.4,62.8,38.8,0.0
2004-10-08,1.0,48.9,62.1,33.1,0.0
2004-10-09,1.2,36.0,41.9,31.3,0.0
2004-10-10,1.2,40.8,54.9,29.7,0.0
2004-10-11,1.2,50.9,64.8,38.3,0.0
2004-10-12,1.3,54.7,65.7,45.3,0.0
2004-10-13,1.3,57.7,66.9,50.7,0.0
2004-10-14,1.3,57.7,73.6,46.2,0.0
2004-10-15,1.3,50.7,61.2,43.5,0.0
2004-10-16,1.3,47.8,57.9,41.0,0.0
2004-10-17,2.2,35.8,44.2,29.8,0.5
2004-10-18,2.8,33.4,37.8,30.7,0.8
2004-10-19,2.8,37.9,46.4,32.4,0.5
2004-10-20,3.1,36.1,42.1,32.4,0.3
2004-10-21,3.2,34.7,36.3,32.7,0.0
2004-10-22,4.2,36.9,41.0,32.4,0.0
2004-10-23,4.6,30.9,32.5,29.1,0.3
2004-10-24,4.6,30.7,39.0,26.8,0.5
2004-10-25,4.7,33.8,43.5,27.0,0.7
2004-10-26,4.8,32.2,36.3,29.8,0.4
2004-10-27,4.9,32.5,36.7,30.0,0.4
2004-10-28,4.9,32.4,35.2,29.1,0.3
2004-10-29,4.9,35.6,43.2,31.5,0.7
2004-10-30,5.5,31.5,37.0,28.2,0.5
2004-10-31,5.5,28.8,36.5,23.4,1.0
2004-11-01,5.9,37.0,43.0,27.5,0.3
2004-11-02,6.5,37.9,45.7,27.0,0.3
2004-11-03,6.5,28.8,34.7,25.3,0.5
2004-11-04,6.5,35.6,45.5,27.0,1.0
2004-11-05,6.5,45.5,60.1,34.2,1.0
2004-11-06,6.5,46.4,61.3,37.4,0.9
2004-11-07,6.5,51.4,68.0,40.5,1.1
2004-11-08,6.5,51.6,65.1,37.2,1.0
2004-11-09,6.7,43.2,50.9,38.1,0.7
2004-11-10,6.7,39.2,44.8,34.3,0.2
2004-11-11,6.7,38.8,49.1,33.1,0.1
2004-11-12,6.7,40.1,51.4,32.9,0.0
2004-11-13,6.7,36.7,46.0,30.4,0.0
