date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2005-10-01,0.0,33.3,38.3,31.5,0.0
2005-10-02,0.2,32.0,34.5,30.6,0.0
2005-10-03,0.2,32.9,41.9,28.8,0.0
2005-10-04,0.3,36.3,47.8,27.9,0.0
2005-10-05,0.4,41.9,45.5,38.3,0.0
2005-10-06,0.9,42.8,49.3,37.4,0.0
2005-10-07,1.2,37.2,44.8,33.8,0.0
2005-10-08,1.3,34.5,45.9,29.7,0.0
2005-10-09,1.4,38.3,44.4,33.8,0.0
2005-10-10,1.4,43.2,51.1,38.1,0.0
2005-10-11,1.4,39.2,47.8,36.0,0.0
2005-10-12,1.8,40.3,47.3,34.0,0.0
2005-10-13,2.4,39.6,46.2,34.5,0.0
2005-10-14,2.6,48.2,58.5,37.2,0.0
2005-10-15,2.9,39.0,41.9,34.9,0.0
2005-10-16,3.4,39.4,44.4,35.6,0.0
2005-10-17,3.6,44.1,47.8,38.5,0.0
2005-10-18,3.7,49.6,57.7,40.5,0.0
2005-10-19,4.9,40.8,47.1,38.8,0.0
2005-10-20,5.0,38.7,42.6,35.1,0.0
2005-10-21,5.0,48.6,59.2,35.8,0.0
2005-10-22,5.0,49.6,59.5,43.0,0.0
2005-10-23,5.0,46.0,54.7,41.4,0.0
2005-10-24,5.0,49.3,61.0,37.8,0.0
2005-10-25,5.0,45.7,53.4,32.5,0.0
2005-10-26,5.0,30.6,35.8,27.1,0.0
2005-10-27,5.2,32.5,38.7,27.0,0.0
2005-10-28,5.5,31.8,34.5,30.2,0.3
2005-10-29,5.9,30.9,34.0,29.3,0.5
2005-10-30,6.1,33.1,42.8,29.7,0.6
2005-10-31,8.8,33.3,36.5,30.7,1.3
2005-11-01,10.0,30.0,32.5,26.8,2.4
2005-11-02,10.6,29.8,35.1,26.6,2.4
2005-11-03,11.6,28.4,30.2,25.7,3.9
2005-11-04,12.8,26.4,29.8,24.8,5.7
2005-11-05,14.6,27.5,31.5,24.8,7.5
2005-11-06,15.4,26.6,30.7,25.0,7.6
2005-11-07,15.6,24.8,29.8,21.2,7.7
2005-11-08,15.6,25.7,32.4,22.1,7.6
2005-11-09,15.7,34.3,42.8,25.2,7.6
2005-11-10,15.9,35.8,42.1,25.7,7.3
2005-11-11,16.6,25.3,27.7,22.1,8.4
2005-11-12,17.2,25.3,29.3,21.7,8.9
2005-11-13,18.8,30.7,34.7,26.2,9.3
2005-11-14,18.9,24.4,30.4,17.2,9.6
2005-11-15,19.0,28.2,36.5,19.4,9.7
2005-11-16,19.1,36.5,48.9,31.8,9.8
2005-11-17,19.1,42.8,53.8,34.0,9.8
2005-11-18,19.1,49.8,57.2,44.1,9.8
2005-11-19,19.1,50.2,63.7,45.7,9.6
2005-11-20,19.1,50.9,58.8,45.3,9.7
2005-11-21,19.1,52.9,58.8,49.6,9.8
2005-11-22,19.1,51.8,57.2,46.4,9.8
2005-11-23,19.1,46.8,57.9,42.1,9.9
2005-11-24,19.4,42.1,49.1,35.2,9.7
2005-11-25,20.1,30.2,37.8,21.9,10.4
2005-11-26,20.2,20.5,26.8,17.6,10.6
2005-11-27,20.2,19.8,27.3,13.3,10.6
2005-11-28,20.7,19.2,23.5,12.7,11.4
2005-11-29,21.7,20.8,24.1,19.2,12.8
2005-11-30,21.9,20.8,26.2,19.4,13.1
2005-12-01,22.6,21.0,22.6,19.0,14.3
2005-12-02,23.1,21.7,24.3,18.9,15.2
2005-12-03,23.8,19.4,24.4,16.7,15.4
2005-12-04,24.0,19.9,25.7,13.1,15.8
2005-12-05,24.4,24.4,30.0,22.5,16.4
2005-12-06,24.4,25.9,32.7,21.6,16.5
2005-12-07,24.4,21.6,24.4,19.2,16.6
2005-12-08,24.4,28.2,41.0,22.3,16.8
2005-12-09,24.5,36.5,43.5,29.3,17.0
2005-12-10,24.5,46.2,59.0,38.7,17.2
2005-12-11,24.5,47.5,60.4,40.6,17.4
2005-12-12,24.5,30.9,42.8,23.4,17.5
2005-12-13,24.5,22.5,28.8,18.7,17.4
2005-12-14,24.5,30.7,36.5,22.1,17.6
2005-12-15,24.5,35.8,44.6,30.7,17.9
2005-12-16,24.5,32.2,41.2,25.2,17.9
2005-12-17,24.5,18.7,25.5,12.7,18.1
2005-12-18,24.5,18.7,23.0,13.5,18.8
2005-12-19,25.5,32.7,41.9,19.2,18.5
2005-12-20,26.1,40.6,45.3,36.7,18.1
2005-12-21,27.4,36.5,38.7,34.5,18.8
2005-12-22,28.8,33.3,36.0,31.3,19.6
2005-12-23,31.6,35.6,43.0,31.8,21.0
2005-12-24,31.9,44.1,47.7,41.9,19.6
2005-12-25,32.3,34.9,44.2,32.2,19.4
2005-12-26,32.8,31.5,36.5,26.8,19.7
2005-12-27,33.8,31.3,33.4,27.9,20.6
2005-12-28,35.4,30.0,34.0,26.6,22.7
2005-12-29,36.3,27.1,30.9,25.5,23.7
2005-12-30,38.3,31.8,33.4,26.6,25.7
2005-12-31,39.0,30.6,32.4,28.2,26.3
2006-01-01,39.3,28.8,31.5,25.0,26.6
2006-01-02,39.4,27.3,30.7,22.1,26.9
2006-01-03,39.4,25.0,28.8,20.3,27.9
2006-01-04,40.9,29.7,38.8,21.2,28.3
2006-01-05,41.4,37.2,40.5,33.4,28.8
2006-01-06,42.9,34.3,36.7,32.0,29.1
2006-01-07,44.0,28.8,33.4,24.1,30.2
2006-01-08,44.5,26.8,29.8,23.5,30.7
2006-01-09,46.0,30.7,32.4,28.8,33.3
2006-01-10,48.4,32.2,34.9,30.6,34.9
2006-01-11,48.7,25.9,30.6,23.9,37.0
2006-01-12,48.9,27.5,31.8,22.1,38.8
2006-01-13,52.4,30.6,31.8,27.5,39.8
2006-01-14,52.6,25.3,29.8,18.7,40.2
2006-01-15,52.7,21.6,26.6,18.3,40.7
2006-01-16,56.3,28.8,34.2,21.6,44.0
2006-01-17,56.3,28.4,32.7,22.5,43.1
2006-01-18,56.6,26.6,30.2,23.5,43.4
2006-01-19,57.2,25.3,27.9,23.7,44.0
2006-01-20,58.9,25.2,27.7,23.2,45.7
2006-01-21,59.1,25.7,32.5,21.9,45.9
2006-01-22,59.5,26.6,33.8,20.8,46.3
2006-01-23,60.1,30.7,35.8,27.3,46.9
2006-01-24,60.2,36.7,47.8,30.7,47.0
2006-01-25,60.6,31.6,39.6,23.5,47.4
2006-01-26,61.4,23.9,28.0,21.9,48.2
2006-01-27,62.2,23.9,27.3,21.6,49.0
2006-01-28,64.2,25.0,27.3,23.2,51.0
2006-01-29,66.4,27.0,32.7,20.3,53.2
2006-01-30,67.2,28.8,33.4,23.0,54.0
2006-01-31,68.0,25.2,30.0,22.5,54.8
2006-02-01,69.3,27.0,28.8,25.3,56.1
2006-02-02,70.5,28.8,31.3,27.3,57.3
2006-02-03,71.2,31.3,37.8,25.0,58.0
2006-02-04,72.5,24.8,34.7,20.3,59.3
2006-02-05,72.5,24.6,38.5,19.4,59.2
