date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2008-10-01,0.0,0.0,59.7,80.1,43.9,0.0
2008-10-02,0.0,0.0,56.8,74.5,41.4,0.0
2008-10-03,0.1,0.0,50.7,64.2,38.7,0.0
2008-10-04,0.6,0.0,45.0,54.3,35.8,0.0
2008-10-05,0.6,0.0,41.0,49.5,31.8,0.0
2008-10-06,0.6,0.0,43.7,60.4,31.3,0.0
2008-10-07,0.6,0.0,49.1,68.0,34.3,0.0
2008-10-08,0.6,0.0,41.2,59.5,27.3,0.0
2008-10-09,0.6,0.0,33.8,47.1,21.9,0.0
2008-10-10,0.7,0.0,26.2,33.3,18.9,0.0
2008-10-11,0.8,0.0,28.2,33.1,21.2,0.0
2008-10-12,0.8,0.0,27.7,34.2,20.1,0.0
2008-10-13,0.9,0.0,30.0,45.7,18.0,0.0
2008-10-14,1.0,0.0,37.8,53.6,25.3,0.0
2008-10-15,1.0,0.0,39.4,56.7,27.3,0.0
2008-10-16,1.0,0.0,44.1,61.3,31.8,0.0
2008-10-17,1.0,0.0,47.5,65.7,31.8,0.0
2008-10-18,1.0,0.0,49.6,70.2,36.5,0.0
2008-10-19,1.0,0.0,47.7,65.7,35.2,0.0
2008-10-20,1.0,0.0,49.5,65.3,36.9,0.0
2008-10-21,1.0,0.0,36.0,47.7,22.3,0.0
2008-10-22,1.0,0.0,31.5,48.2,18.7,0.0
2008-10-23,1.0,0.0,39.0,58.8,23.7,0.0
2008-10-24,1.0,0.0,41.2,60.6,26.4,0.0
2008-10-25,1.0,0.0,47.3,66.2,32.4,0.0
2008-10-26,1.0,0.0,43.9,59.5,30.6,0.0
2008-10-27,1.0,0.0,48.0,69.1,36.1,0.0
2008-10-28,1.0,0.0,50.9,72.9,34.2,0.0
2008-10-29,1.0,0.0,47.1,66.4,32.4,0.0
2008-10-30,1.0,0.0,47.5,64.8,32.4,0.0
2008-10-31,1.0,0.0,48.6,60.6,35.8,0.0
2008-11-01,1.8,0.0,45.9,55.6,35.6,0.0
2008-11-02,2.6,0.0,40.8,48.4,32.5,0.0
2008-11-03,3.2,1.0,32.9,41.7,27.7,0.3
