date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2009-10-01,0.0,0.0,28.0,35.2,23.5,0.0
2009-10-02,0.1,0.0,32.9,48.2,22.3,0.0
2009-10-03,0.1,0.0,42.1,58.5,28.4,0.0
2009-10-04,0.1,0.0,44.6,68.0,32.4,0.0
2009-10-05,0.5,0.0,32.2,41.0,26.2,0.0
2009-10-06,0.5,0.0,30.0,46.2,20.3,0.0
2009-10-07,0.5,0.0,39.2,54.3,27.1,0.0
2009-10-08,0.6,0.0,34.7,43.7,29.3,0.0
2009-10-09,0.7,0.0,37.2,46.6,26.2,0.0
2009-10-10,0.7,0.0,42.8,54.9,34.5,0.0
2009-10-11,0.7,0.0,40.8,49.1,32.5,0.0
2009-10-12,0.7,0.0,45.7,57.2,37.2,0.0
2009-10-13,0.7,0.0,41.7,51.3,33.4,0.0
2009-10-14,0.9,0.0,40.5,46.8,37.9,0.0
2009-10-15,0.9,0.0,41.4,49.1,35.8,0.0
2009-10-16,0.9,0.0,40.1,54.1,30.9,0.0
2009-10-17,0.9,0.0,42.6,60.8,31.5,0.0
2009-10-18,0.9,0.0,47.5,64.8,36.3,0.0
2009-10-19,0.9,0.0,48.0,61.7,39.2,0.0
2009-10-20,1.1,0.0,42.6,59.4,34.3,0.0
2009-10-21,1.1,0.0,35.6,41.0,26.8,0.0
2009-10-22,1.2,,32.5,43.5,23.7,0.1
2009-10-23,1.2,0.0,36.7,47.5,29.5,0.0
2009-10-24,1.3,,35.1,45.0,29.8,0.1
2009-10-25,1.3,0.0,27.3,36.9,16.2,0.0
2009-10-26,1.4,0.0,25.9,40.3,10.8,0.0
2009-10-27,1.6,,29.1,41.4,21.9,0.3
2009-10-28,1.7,1.0,24.1,29.8,14.7,0.3
2009-10-29,1.7,3.0,16.2,22.3,11.3,0.4
2009-10-30,1.9,2.0,20.5,27.3,11.7,0.5
2009-10-31,1.9,1.0,30.6,45.3,21.6,0.5
2009-11-01,1.9,1.0,35.1,48.6,27.1,0.5
2009-11-02,1.9,,35.8,48.2,28.2,0.5
2009-11-03,1.9,,36.9,52.0,27.7,0.5
2009-11-04,1.9,,38.8,52.9,30.6,0.6
2009-11-05,1.9,,40.8,55.9,32.7,0.6
2009-11-06,1.9,,42.6,56.5,36.5,0.6
2009-11-07,1.9,,43.5,59.2,36.1,0.4
2009-11-08,1.9,,38.5,49.8,33.4,0.2
2009-11-09,1.9,,36.3,46.8,30.4,0.2
2009-11-10,1.9,,37.0,51.3,27.9,0.2
2009-11-11,1.9,,40.6,54.1,33.4,0.2
2009-11-12,1.9,,43.2,53.2,37.4,0.2
2009-11-13,2.1,,32.2,44.6,22.3,0.5
2009-11-14,2.6,5.0,24.8,32.2,21.0,0.8
2009-11-15,2.8,5.0,18.3,25.3,8.6,0.9
2009-11-16,2.8,3.0,14.4,27.0,4.5,0.9
2009-11-17,2.8,3.0,22.6,32.7,13.6,0.9
2009-11-18,2.8,3.0,26.8,36.3,20.8,0.9
2009-11-19,2.8,2.0,25.3,36.0,18.9,1.0
2009-11-20,2.8,3.0,24.4,34.3,16.3,1.0
2009-11-21,2.8,3.0,28.8,40.6,21.9,1.0
2009-11-22,2.8,2.0,27.3,34.5,20.3,1.0
2009-11-23,3.0,6.0,16.5,28.0,7.0,1.1
2009-11-24,3.0,5.0,12.6,23.0,4.6,1.2
2009-11-25,3.0,5.0,21.6,34.0,12.4,1.2
2009-11-26,3.0,5.0,25.9,34.2,19.8,1.2
2009-11-27,3.0,5.0,27.5,36.1,21.6,1.3
2009-11-28,3.0,5.0,29.3,37.4,22.1,1.3
2009-11-29,3.0,5.0,23.5,31.3,18.0,1.3
2009-11-30,3.0,5.0,22.5,31.6,13.8,1.3
2009-12-01,3.0,5.0,24.1,33.4,19.6,1.3
2009-12-02,3.1,7.0,12.4,22.5,-0.4,1.3
2009-12-03,3.1,7.0,0.1,10.4,-5.6,1.3
2009-12-04,3.1,7.0,3.6,16.7,-7.1,1.3
2009-12-05,3.2,6.0,15.8,28.0,4.6,1.4
2009-12-06,3.3,9.0,12.9,19.0,5.0,1.5
2009-12-07,3.5,8.0,17.2,22.6,8.2,1.8
2009-12-08,3.7,13.0,12.7,21.7,0.7,2.0
2009-12-09,3.8,12.0,1.4,7.9,-5.1,2.0
2009-12-10,3.8,12.0,3.0,14.9,-4.0,2.0
2009-12-11,3.8,11.0,10.9,21.6,1.6,2.1
2009-12-12,3.9,10.0,21.0,27.1,14.5,2.2
2009-12-13,4.4,17.0,25.2,32.5,21.2,2.8
2009-12-14,4.4,15.0,20.3,26.4,16.3,2.8
2009-12-15,4.4,15.0,15.8,25.5,9.3,2.8
2009-12-16,4.4,13.0,23.9,33.8,14.5,2.8
2009-12-17,4.4,13.0,25.9,32.4,20.5,2.8
2009-12-18,4.4,13.0,18.7,29.7,9.3,2.8
2009-12-19,4.4,13.0,12.2,22.3,3.4,2.8
2009-12-20,4.4,13.0,23.5,34.9,15.4,2.8
2009-12-21,4.4,12.0,23.2,32.5,19.0,2.8
2009-12-22,4.7,14.0,25.3,33.3,19.2,3.0
2009-12-23,4.7,15.0,22.5,30.7,14.5,3.1
2009-12-24,4.7,16.0,6.4,14.9,0.3,3.1
2009-12-25,4.8,16.0,6.8,12.6,1.9,3.1
2009-12-26,4.8,15.0,6.3,14.7,0.0,3.1
2009-12-27,4.8,15.0,10.2,19.4,4.6,3.2
2009-12-28,4.8,15.0,10.6,19.0,4.1,3.2
2009-12-29,4.9,15.0,16.9,27.3,9.3,3.3
2009-12-30,5.3,21.0,16.5,21.7,13.6,3.7
2009-12-31,5.3,20.0,10.8,18.7,6.6,3.8
2010-01-01,5.4,18.0,20.8,30.7,11.3,3.8
2010-01-02,5.6,21.0,23.5,29.7,19.0,4.1
