date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2010-10-01,0.4,0.0,63.5,73.4,54.7,0.0
2010-10-02,0.5,0.0,57.0,68.4,49.3,0.0
2010-10-03,0.7,0.0,49.6,54.7,45.9,0.0
2010-10-04,0.7,0.0,44.2,50.4,40.3,0.0
2010-10-05,0.7,0.0,48.0,59.7,37.0,0.0
2010-10-06,0.7,0.0,57.0,66.4,51.4,0.0
2010-10-07,0.7,0.0,50.2,55.9,45.9,0.0
2010-10-08,0.7,0.0,51.4,61.0,44.6,0.0
2010-10-09,1.7,0.0,52.7,55.2,48.0,0.0
2010-10-10,2.5,0.0,48.2,55.0,37.8,0.0
2010-10-11,2.5,0.0,41.9,53.2,32.9,0.0
2010-10-12,2.5,0.0,53.4,65.8,42.6,0.0
2010-10-13,2.5,0.0,60.8,72.5,50.0,0.0
2010-10-14,2.5,0.0,55.0,64.2,43.9,0.0
2010-10-15,2.5,0.0,43.9,52.0,37.8,0.0
2010-10-16,2.5,0.0,45.9,54.7,40.8,0.0
2010-10-17,2.5,0.0,47.1,59.0,40.5,0.0
2010-10-18,2.5,0.0,51.3,64.2,41.9,0.0
2010-10-19,2.5,0.0,57.6,68.2,50.0,0.0
2010-10-20,2.5,0.0,59.9,72.0,53.8,0.0
2010-10-21,2.5,0.0,48.9,57.0,43.5,0.0
2010-10-22,3.1,0.0,42.6,46.8,38.1,0.0
2010-10-23,4.0,1.0,41.7,47.5,38.1,0.2
2010-10-24,5.5,2.0,37.9,45.0,32.0,0.5
2010-10-25,6.7,12.0,32.4,34.3,31.8,2.4
2010-10-26,7.5,14.0,31.8,32.5,30.9,2.8
2010-10-27,7.5,12.0,35.8,44.4,30.4,2.8
2010-10-28,7.7,7.0,41.7,45.9,38.7,2.5
2010-10-29,7.7,5.0,43.0,49.6,38.5,2.0
2010-10-30,8.1,4.0,42.8,46.8,39.4,1.6
2010-10-31,8.4,3.0,41.4,47.7,37.2,1.1
2010-11-01,8.7,2.0,49.3,51.8,46.0,0.3
2010-11-02,8.7,1.0,52.7,60.6,48.6,0.2
2010-11-03,8.7,0.0,54.1,60.1,48.6,0.0
2010-11-04,8.7,0.0,59.4,68.0,50.9,0.0
2010-11-05,8.7,0.0,54.0,59.5,45.7,0.0
2010-11-06,9.2,0.0,46.2,48.6,43.7,0.0
2010-11-07,10.4,0.0,36.1,45.3,32.0,0.0
2010-11-08,10.6,0.0,32.0,32.5,31.6,0.0
2010-11-09,11.4,3.0,31.8,33.8,29.3,0.8
2010-11-10,11.9,3.0,32.9,36.5,30.7,0.9
2010-11-11,12.0,2.0,35.2,42.4,30.2,0.9
2010-11-12,12.1,2.0,34.3,39.4,30.6,0.7
2010-11-13,12.3,1.0,38.3,41.7,32.5,0.6
2010-11-14,12.6,0.0,43.7,44.6,40.6,0.0
2010-11-15,12.9,0.0,43.9,45.5,42.3,0.0
2010-11-16,13.0,1.0,37.0,42.8,33.8,0.1
2010-11-17,14.4,2.0,35.1,39.2,32.0,0.2
2010-11-18,15.2,12.0,30.2,34.9,28.8,1.4
2010-11-19,15.4,13.0,29.1,31.8,27.1,1.4
2010-11-20,15.4,11.0,29.3,33.3,27.0,1.4
2010-11-21,15.7,17.0,26.8,27.7,24.4,2.2
2010-11-22,16.1,31.0,26.2,28.4,19.8,4.0
2010-11-23,16.3,29.0,15.4,19.6,12.9,4.0
2010-11-24,16.4,26.0,18.7,25.9,11.8,4.0
2010-11-25,16.5,23.0,28.4,34.0,22.1,4.1
2010-11-26,17.2,20.0,33.4,35.2,32.0,4.7
2010-11-27,17.6,22.0,30.4,32.0,27.7,4.9
2010-11-28,17.8,22.0,28.8,30.6,27.3,5.1
2010-11-29,17.9,22.0,28.8,32.7,24.3,5.1
2010-11-30,19.8,22.0,33.1,36.7,30.9,5.6
2010-12-01,20.1,18.0,36.1,37.9,34.2,5.5
2010-12-02,20.5,19.0,32.2,34.7,29.7,5.6
2010-12-03,20.5,18.0,28.8,33.8,25.0,5.6
2010-12-04,20.5,18.0,32.4,37.0,29.5,5.5
2010-12-05,20.5,17.0,36.5,44.6,30.4,5.6
2010-12-06,20.6,15.0,39.2,46.6,32.5,5.4
2010-12-07,20.6,13.0,44.2,51.6,38.1,5.1
2010-12-08,21.4,12.0,38.3,46.8,34.5,4.7
2010-12-09,22.4,10.0,37.2,40.1,32.0,4.5
2010-12-10,22.9,13.0,32.4,33.4,31.6,4.9
2010-12-11,24.5,9.0,39.2,47.1,31.8,4.5
2010-12-12,25.4,6.0,44.4,46.2,43.2,3.6
2010-12-13,26.5,5.0,43.0,45.3,41.0,2.8
2010-12-14,27.4,11.0,31.3,41.7,28.4,3.6
2010-12-15,27.6,11.0,28.4,30.6,26.8,3.6
