date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2018-10-01,0.0,0.0,58.5,70.3,50.2,0.0
2018-10-02,0.0,0.0,53.2,66.6,46.6,0.0
2018-10-03,0.0,0.0,55.0,64.0,48.9,0.0
2018-10-04,0.0,0.0,53.1,63.7,43.9,0.0
2018-10-05,0.1,1.0,48.9,59.0,40.5,0.1
2018-10-06,0.1,1.0,43.0,59.7,29.7,0.1
2018-10-07,0.2,1.0,45.7,59.0,36.7,0.1
2018-10-08,0.2,1.0,38.1,45.3,32.2,0.1
2018-10-09,0.4,1.0,33.1,37.9,30.9,0.2
2018-10-10,0.4,1.0,37.0,44.6,30.4,0.2
2018-10-11,0.5,1.0,40.5,51.1,35.1,0.2
2018-10-12,0.5,1.0,41.9,52.9,33.8,0.2
2018-10-13,0.5,1.0,43.7,53.2,35.6,0.1
2018-10-14,1.3,2.0,31.3,41.0,18.3,0.6
2018-10-15,1.4,2.0,24.4,32.2,19.2,0.7
2018-10-16,1.4,2.0,30.2,39.6,22.3,0.6
2018-10-17,1.4,2.0,31.5,36.3,29.5,0.6
2018-10-18,1.4,1.0,37.8,48.4,29.7,0.2
2018-10-19,1.4,0.0,39.2,52.2,30.6,0.0
2018-10-20,1.4,0.0,40.3,54.7,30.6,0.0
2018-10-21,1.4,0.0,42.6,54.3,32.2,0.0
2018-10-22,1.4,0.0,44.4,54.9,37.8,0.0
2018-10-23,1.6,1.0,40.5,47.8,36.9,0.2
2018-10-24,2.1,1.0,37.2,39.2,34.7,0.2
2018-10-25,2.1,1.0,38.3,46.8,32.5,0.2
2018-10-26,2.1,1.0,40.3,50.9,31.5,0.2
2018-10-27,2.1,1.0,45.3,57.0,35.1,0.1
2018-10-28,2.1,1.0,47.5,58.8,38.5,0.1
2018-10-29,2.1,1.0,48.6,58.5,41.7,0.1
2018-10-30,3.2,6.0,39.4,50.4,29.7,1.0
2018-10-31,3.9,7.0,25.9,70.0,11.8,1.4
2018-11-01,3.9,6.0,27.5,64.9,22.5,1.3
2018-11-02,3.9,7.0,32.0,41.9,23.0,1.3
2018-11-03,3.9,5.0,32.5,40.6,25.2,1.3
2018-11-04,4.0,4.0,31.6,40.5,21.6,1.2
2018-11-05,4.0,4.0,34.2,41.9,29.1,1.1
2018-11-06,4.0,3.0,36.5,44.1,30.7,1.1
2018-11-07,4.0,3.0,36.9,44.2,30.2,1.0
2018-11-08,4.0,3.0,32.0,40.8,18.9,0.9
2018-11-09,4.0,2.0,26.6,40.5,17.6,0.8
2018-11-10,4.0,3.0,29.7,39.0,19.2,0.9
2018-11-11,5.1,12.0,21.6,32.5,10.4,1.8
2018-11-12,5.1,11.0,9.5,17.8,4.5,1.8
2018-11-13,5.1,9.0,17.2,31.5,5.0,1.9
2018-11-14,5.1,9.0,28.8,43.9,18.3,1.9
2018-11-15,5.1,8.0,33.4,45.7,25.3,1.9
2018-11-16,5.1,7.0,36.0,47.1,29.1,1.9
2018-11-17,5.1,6.0,34.2,44.2,27.3,1.9
2018-11-18,5.1,6.0,29.3,38.1,20.8,1.9
2018-11-19,5.1,6.0,29.7,44.1,20.5,1.9
2018-11-20,5.1,5.0,30.6,44.6,20.1,1.9
2018-11-21,5.1,5.0,34.2,45.0,24.4,1.9
2018-11-22,5.2,6.0,32.2,42.3,25.9,2.0
2018-11-23,5.2,6.0,27.9,34.2,22.6,2.0
2018-11-24,5.2,6.0,32.0,39.6,18.3,2.0
2018-11-25,5.2,6.0,19.0,30.2,10.2,2.0
2018-11-26,5.2,6.0,23.9,36.3,12.4,2.0
2018-11-27,5.2,6.0,29.7,40.8,20.7,2.0
2018-11-28,5.2,6.0,35.2,43.9,28.4,2.0
2018-11-29,5.2,6.0,34.0,39.4,28.8,2.0
2018-11-30,5.5,9.0,27.1,33.3,22.1,2.2
2018-12-01,5.6,10.0,20.7,25.5,14.0,2.3
2018-12-02,5.7,10.0,17.1,22.6,12.9,2.5
2018-12-03,5.7,10.0,13.5,21.6,7.9,2.5
2018-12-04,5.7,10.0,13.6,23.4,4.3,2.5
2018-12-05,5.7,9.0,28.8,38.1,14.2,2.5
2018-12-06,5.8,9.0,31.6,38.1,27.7,2.6
2018-12-07,5.8,9.0,29.8,37.8,24.1,2.6
2018-12-08,5.8,9.0,25.2,30.2,19.6,2.6
2018-12-09,5.8,9.0,23.2,34.3,15.6,2.6
2018-12-10,5.9,9.0,27.5,40.6,14.4,2.7
2018-12-11,5.9,9.0,33.8,42.4,27.0,2.7
2018-12-12,5.9,9.0,28.8,38.5,19.9,2.7
2018-12-13,6.0,11.0,18.3,28.0,11.8,2.8
2018-12-14,6.0,11.0,28.4,42.8,15.8,2.8
2018-12-15,6.0,10.0,31.6,42.1,24.1,2.8
2018-12-16,6.0,10.0,34.3,47.3,25.3,2.8
2018-12-17,6.0,9.0,32.2,38.8,27.1,2.8
