date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2018-10-01,0.0,0.0,43.2,54.1,32.2,0.0
2018-10-02,0.0,0.0,41.2,54.1,28.4,0.0
2018-10-03,0.0,0.0,30.7,39.2,20.7,0.0
2018-10-04,0.0,0.0,36.0,48.2,28.4,0.0
2018-10-05,0.1,0.0,34.5,41.4,28.4,0.0
2018-10-06,0.1,0.0,38.8,52.2,30.2,0.0
2018-10-07,0.1,0.0,38.1,44.6,30.9,0.0
2018-10-08,0.5,0.0,36.5,38.3,35.1,0.0
2018-10-09,0.7,0.0,37.8,45.0,30.4,0.0
2018-10-10,0.7,0.0,36.3,43.9,29.5,0.0
2018-10-11,0.7,0.0,35.1,47.1,27.1,0.0
2018-10-12,0.7,0.0,42.1,56.7,30.7,0.0
2018-10-13,0.7,0.0,37.9,47.5,28.8,0.0
2018-10-14,0.7,0.0,35.8,49.8,24.8,0.0
2018-10-15,0.7,0.0,43.9,58.3,31.8,0.0
2018-10-16,0.7,0.0,46.4,61.0,34.5,0.0
2018-10-17,0.7,0.0,43.9,57.9,34.0,0.0
2018-10-18,0.7,0.0,42.4,55.0,32.4,0.0
2018-10-19,0.7,0.0,43.5,56.8,34.3,0.0
2018-10-20,0.7,0.0,43.5,59.7,32.4,0.0
2018-10-21,0.7,0.0,45.0,59.7,34.9,0.0
2018-10-22,0.7,0.0,45.0,59.5,36.0,0.0
2018-10-23,0.7,0.0,45.7,58.5,37.4,0.0
2018-10-24,0.8,0.0,39.9,49.5,31.5,0.0
2018-10-25,0.8,0.0,37.8,41.9,32.4,0.0
2018-10-26,0.8,0.0,39.9,52.9,29.5,0.0
2018-10-27,1.1,1.0,35.2,47.5,27.1,0.2
2018-10-28,1.2,0.0,34.9,41.0,31.5,0.0
2018-10-29,1.2,0.0,34.5,46.0,28.2,0.0
2018-10-30,1.3,0.0,34.5,45.9,27.9,0.0
2018-10-31,1.3,0.0,34.2,41.9,31.6,0.0
2018-11-01,1.3,0.0,38.3,42.1,33.4,0.0
2018-11-02,1.3,0.0,45.0,51.6,32.4,0.0
2018-11-03,1.3,0.0,36.7,42.4,30.9,0.0
2018-11-04,1.3,0.0,40.5,49.1,28.8,0.0
2018-11-05,1.3,0.0,32.9,45.0,27.3,0.0
2018-11-06,1.3,0.0,30.9,41.9,24.3,0.0
2018-11-07,1.3,0.0,27.7,36.1,18.3,0.0
2018-11-08,1.3,0.0,24.4,36.3,16.7,0.0
2018-11-09,1.3,0.0,25.9,33.8,21.2,0.0
2018-11-10,1.3,0.0,28.8,39.0,19.2,0.0
2018-11-11,1.3,0.0,25.7,37.9,17.8,0.0
2018-11-12,1.3,0.0,23.7,32.9,17.8,0.0
2018-11-13,1.3,0.0,23.7,32.7,19.2,0.0
2018-11-14,1.4,0.0,24.3,40.1,18.9,0.0
2018-11-15,1.4,0.0,30.9,42.3,25.7,0.0
2018-11-16,1.4,0.0,29.7,39.0,19.2,0.0
2018-11-17,1.4,0.0,23.4,34.5,16.0,0.0
2018-11-18,1.4,0.0,24.1,34.7,17.1,0.0
2018-11-19,1.4,0.0,25.5,36.1,19.9,0.0
2018-11-20,1.4,0.0,25.7,37.9,19.6,0.0
2018-11-21,1.5,0.0,27.1,32.0,21.6,0.0
2018-11-22,1.7,1.0,27.7,29.8,25.5,0.2
2018-11-23,1.7,1.0,24.8,28.2,19.8,0.2
2018-11-24,1.7,2.0,26.4,36.0,21.2,0.2
