date,PREC_DAILY,SNWD_DAILY,TMIN_DAILY,WTEQ_DAILY
2019-10-01,0.0,0.0,25.7,0.0
2019-10-02,0.0,0.0,21.7,0.0
2019-10-03,0.1,0.0,18.1,0.1
2019-10-04,0.2,1.0,25.7,0.2
2019-10-05,0.2,1.0,23.9,0.2
2019-10-06,0.2,1.0,21.0,0.2
2019-10-07,0.2,1.0,23.2,0.2
2019-10-08,0.3,1.0,27.5,0.2
2019-10-09,0.4,2.0,8.8,0.3
2019-10-10,0.4,2.0,1.6,0.3
2019-10-11,0.5,2.0,-3.5,0.4
2019-10-12,0.6,2.0,4.8,0.5
2019-10-13,0.6,2.0,15.3,0.5
2019-10-14,0.6,2.0,21.6,0.5
2019-10-15,0.6,2.0,21.2,0.5
2019-10-16,0.6,1.0,28.2,0.5
2019-10-17,0.6,1.0,28.2,0.5
2019-10-18,0.6,1.0,24.1,0.5
2019-10-19,1.6,10.0,21.0,1.4
2019-10-20,1.8,12.0,23.9,1.7
2019-10-21,1.9,12.0,24.8,1.8
2019-10-22,1.9,11.0,25.9,1.8
2019-10-23,1.9,9.0,5.5,1.7
2019-10-24,2.0,10.0,-1.1,1.8
2019-10-25,2.0,9.0,12.6,1.8
2019-10-26,2.0,9.0,9.3,1.7
2019-10-27,2.0,9.0,-12.5,1.7
2019-10-28,2.0,9.0,-13.0,1.7
2019-10-29,2.0,9.0,-16.6,1.7
2019-10-30,2.0,9.0,-23.1,1.8
2019-10-31,2.2,10.0,-4.9,2.0
2019-11-01,2.2,10.0,2.3,2.0
2019-11-02,2.2,10.0,3.2,2.0
2019-11-03,2.2,10.0,21.0,2.0
2019-11-04,2.2,9.0,27.0,2.0
2019-11-05,2.2,9.0,22.3,2.0
2019-11-06,2.2,9.0,8.1,2.0
2019-11-07,2.2,9.0,-3.5,2.0
2019-11-08,2.2,9.0,13.3,2.0
2019-11-09,2.2,9.0,17.6,2.0
2019-11-10,2.2,9.0,14.0,2.0
2019-11-11,2.2,9.0,2.1,2.0
2019-11-12,2.2,9.0,4.6,2.0
2019-11-13,2.2,9.0,14.7,2.0
2019-11-14,2.3,9.0,7.5,2.1
2019-11-15,2.3,9.0,15.3,2.2
2019-11-16,2.3,9.0,20.3,2.2
2019-11-17,2.4,10.0,26.2,2.3
2019-11-18,2.4,10.0,21.4,2.3
2019-11-19,2.4,10.0,32.2,2.3
2019-11-20,2.4,9.0,9.1,2.2
2019-11-21,2.4,9.0,0.9,2.2
2019-11-22,2.5,10.0,0.3,2.3
2019-11-23,2.5,10.0,19.9,2.3
2019-11-24,2.5,10.0,21.0,2.3
2019-11-25,2.5,10.0,0.0,2.2
2019-11-26,2.5,10.0,-9.2,2.2
2019-11-27,2.5,10.0,-2.9,2.2
2019-11-28,2.7,14.0,11.5,2.5
2019-11-29,3.2,18.0,12.2,3.0
2019-11-30,3.4,19.0,9.9,3.2
2019-12-01,3.5,19.0,7.9,3.3
2019-12-02,3.6,18.0,20.5,3.5
2019-12-03,3.6,18.0,23.5,3.5
2019-12-04,3.6,18.0,25.5,3.5
2019-12-05,3.6,18.0,19.8,3.5
2019-12-06,3.6,17.0,25.9,3.5
2019-12-07,3.8,18.0,26.8,3.6
2019-12-08,4.0,19.0,17.6,3.8
2019-12-09,4.0,18.0,-0.8,3.8
2019-12-10,4.0,19.0,18.9,3.9
2019-12-11,4.2,20.0,17.4,4.0
2019-12-12,4.7,27.0,18.1,4.5
2019-12-13,4.7,26.0,15.4,4.5
2019-12-14,4.7,22.0,6.8,4.5
2019-12-15,4.7,21.0,8.2,4.5
2019-12-16,4.7,21.0,8.6,4.5
2019-12-17,4.7,21.0,-0.2,4.5
2019-12-18,4.7,21.0,-11.2,4.5
2019-12-19,4.8,22.0,3.7,4.6
2019-12-20,4.8,22.0,20.7,4.6
2019-12-21,4.8,22.0,11.8,4.6
2019-12-22,4.8,21.0,8.6,4.6
2019-12-23,4.8,21.0,5.5,4.6
2019-12-24,4.8,22.0,22.6,4.6
2019-12-25,4.8,22.0,7.5,4.6
2019-12-26,4.8,22.0,-1.8,4.6
2019-12-27,4.8,22.0,-0.4,4.6
2019-12-28,4.8,22.0,-2.9,4.6
2019-12-29,4.8,22.0,-8.5,4.6
2019-12-30,4.8,22.0,-16.4,4.6
2019-12-31,5.2,24.0,-10.8,5.0
2020-01-01,5.6,28.0,17.2,5.4
2020-01-02,5.6,28.0,15.3,5.4
2020-01-03,5.6,27.0,18.9,5.4
2020-01-04,5.6,25.0,4.3,5.4
2020-01-05,5.8,29.0,3.2,5.6
2020-01-06,6.1,32.0,14.7,5.9
2020-01-07,6.3,32.0,22.6,6.2
2020-01-08,6.4,32.0,18.9,6.2
2020-01-09,6.5,32.0,9.1,6.3
2020-01-10,6.6,33.0,-15.3,6.4
2020-01-11,6.9,34.0,10.4,6.6
2020-01-12,7.0,35.0,15.3,6.8
2020-01-13,7.2,36.0,11.7,7.0
2020-01-14,7.5,40.0,13.6,7.2
2020-01-15,7.5,37.0,-2.7,7.2
2020-01-16,7.6,36.0,-3.6,7.3
2020-01-17,7.6,37.0,-0.2,7.4
2020-01-18,7.7,37.0,11.5,7.5
2020-01-19,7.7,37.0,2.8,7.5
2020-01-20,7.9,36.0,-5.3,7.6
2020-01-21,8.0,36.0,22.5,7.7
2020-01-22,8.0,35.0,15.3,7.7
2020-01-23,8.1,36.0,18.3,7.8
2020-01-24,8.1,36.0,27.5,7.8
2020-01-25,8.2,35.0,24.6,7.9
2020-01-26,8.3,36.0,26.2,8.1
2020-01-27,8.4,37.0,21.6,8.2
2020-01-28,8.5,37.0,21.4,8.3
2020-01-29,8.6,37.0,19.6,8.3
2020-01-30,8.6,37.0,4.6,8.3
2020-01-31,8.8,37.0,3.0,8.5
2020-02-01,8.8,36.0,26.1,8.5
2020-02-02,9.1,40.0,10.4,8.8
2020-02-03,9.1,39.0,-6.5,8.8
2020-02-04,9.1,38.0,-22.0,8.8
2020-02-05,9.3,40.0,4.5,9.0
2020-02-06,9.8,43.0,13.6,9.5
2020-02-07,10.0,43.0,17.1,9.6
2020-02-08,10.3,45.0,13.1,10.0
2020-02-09,10.3,44.0,-5.6,10.0
2020-02-10,10.3,44.0,-12.8,10.0
2020-02-11,10.4,45.0,-15.0,10.2
2020-02-12,10.4,43.0,7.9,10.2
2020-02-13,10.4,44.0,12.7,10.2
2020-02-14,10.4,43.0,-1.5,10.2
2020-02-15,10.7,46.0,-2.4,10.5
2020-02-16,10.9,46.0,17.1,10.7
2020-02-17,10.9,45.0,3.4,10.7
2020-02-18,10.9,44.0,-13.0,10.7
2020-02-19,10.9,43.0,-23.3,10.7
2020-02-20,10.9,42.0,-22.7,10.7
2020-02-21,10.9,42.0,-16.8,10.7
2020-02-22,10.9,42.0,-6.2,10.7
2020-02-23,11.0,42.0,-4.0,10.8
2020-02-24,11.0,43.0,9.7,10.8
2020-02-25,11.0,42.0,-4.4,10.8
2020-02-26,11.0,42.0,-3.5,10.8
2020-02-27,11.0,41.0,6.1,10.8
2020-02-28,11.0,41.0,1.0,10.8
2020-02-29,11.1,45.0,10.8,10.9
2020-03-01,11.1,43.0,-7.2,10.9
2020-03-02,11.3,43.0,-9.8,11.0
2020-03-03,11.4,43.0,22.5,11.2
2020-03-04,11.4,42.0,17.2,11.2
2020-03-05,11.4,42.0,1.6,11.2
2020-03-06,11.4,41.0,17.6,11.2
2020-03-07,11.5,42.0,20.5,11.4
2020-03-08,11.6,42.0,25.3,11.6
2020-03-09,11.8,44.0,26.1,11.8
2020-03-10,12.0,45.0,23.9,11.9
2020-03-11,12.0,44.0,26.4,12.0
2020-03-12,12.0,44.0,2.5,12.0
2020-03-13,12.0,43.0,-5.8,12.0
2020-03-14,12.6,48.0,14.0,12.5
2020-03-15,13.2,52.0,19.4,13.1
2020-03-16,13.2,51.0,13.6,13.1
2020-03-17,13.3,50.0,13.1,13.1
2020-03-18,13.6,52.0,15.3,13.4
2020-03-19,13.6,52.0,12.0,13.4
2020-03-20,13.6,51.0,18.1,13.4
2020-03-21,13.6,50.0,20.3,13.4
2020-03-22,13.6,50.0,17.4,13.5
2020-03-23,13.7,49.0,10.2,13.6
2020-03-24,14.0,52.0,26.2,13.8
2020-03-25,14.1,52.0,10.4,14.0
2020-03-26,14.1,52.0,-1.7,14.0
2020-03-27,14.2,51.0,-9.4,14.1
2020-03-28,14.3,51.0,20.1,14.1
2020-03-29,14.4,51.0,24.6,14.2
2020-03-30,14.6,53.0,27.1,14.4
2020-03-31,15.2,57.0,23.9,15.0
2020-04-01,15.2,55.0,14.9,15.0
2020-04-02,15.2,54.0,-1.1,15.0
2020-04-03,15.3,54.0,-5.8,15.0
2020-04-04,15.4,53.0,14.5,15.1
2020-04-05,15.4,51.0,26.1,15.2
2020-04-06,15.8,54.0,30.2,15.5
2020-04-07,15.8,52.0,30.2,15.5
2020-04-08,15.8,51.0,24.8,15.5
2020-04-09,15.8,50.0,17.6,15.5
2020-04-10,15.8,49.0,25.2,15.5
2020-04-11,15.9,49.0,12.2,15.6
2020-04-12,15.9,48.0,-4.2,15.6
2020-04-13,15.9,49.0,-12.3,15.6
2020-04-14,16.0,49.0,-2.6,15.6
2020-04-15,16.0,49.0,14.7,15.6
2020-04-16,16.0,48.0,6.1,15.6
2020-04-17,16.1,48.0,-1.8,15.6
2020-04-18,16.1,48.0,12.4,15.5
2020-04-19,16.1,47.0,24.1,15.5
2020-04-20,16.1,46.0,18.7,15.4
2020-04-21,16.1,45.0,21.2,15.1
2020-04-22,16.1,44.0,24.1,15.0
2020-04-23,16.2,44.0,30.6,15.0
2020-04-24,16.2,43.0,26.4,14.8
2020-04-25,16.2,42.0,27.0,14.5
2020-04-26,16.2,40.0,30.6,14.2
2020-04-27,16.5,40.0,27.9,14.4
2020-04-28,16.5,39.0,28.4,14.2
2020-04-29,16.5,37.0,27.1,13.8
2020-04-30,17.2,35.0,36.3,13.6
2020-05-01,17.3,34.0,33.4,12.7
2020-05-02,17.3,32.0,30.2,12.1
2020-05-03,17.3,30.0,28.9,11.4
2020-05-04,17.3,29.0,28.8,11.3
2020-05-05,17.3,28.0,24.1,11.0
2020-05-06,17.3,27.0,27.1,10.4
2020-05-07,17.3,26.0,21.6,10.2
2020-05-08,17.4,26.0,21.9,10.0
2020-05-09,17.4,23.0,28.0,9.3
2020-05-10,17.4,23.0,27.3,8.9
2020-05-11,17.5,22.0,29.3,8.5
