date,PREC_DAILY,WTEQ_DAILY
2020-10-01,0.0,0.0
2020-10-02,0.1,0.0
2020-10-03,0.3,0.0
2020-10-04,0.3,0.0
2020-10-05,0.3,0.0
2020-10-06,0.3,0.0
2020-10-07,0.3,0.0
2020-10-08,0.5,0.0
2020-10-09,0.8,0.0
2020-10-10,3.5,0.0
2020-10-11,4.8,0.1
2020-10-12,5.5,0.0
2020-10-13,9.0,0.0
2020-10-14,9.7,0.0
2020-10-15,9.7,0.0
2020-10-16,10.9,0.1
2020-10-17,11.1,0.0
2020-10-18,11.9,0.1
2020-10-19,12.5,0.0
2020-10-20,12.6,0.1
2020-10-21,13.1,0.0
2020-10-22,13.1,0.1
2020-10-23,14.1,1.3
2020-10-24,14.3,0.8
2020-10-25,14.2,1.0
2020-10-26,14.2,1.6
2020-10-27,14.1,1.4
2020-10-28,14.1,0.9
2020-10-29,14.1,0.4
2020-10-30,14.0,0.0
2020-10-31,13.9,0.3
2020-11-01,14.2,0.4
2020-11-02,14.2,0.2
2020-11-03,14.9,0.2
2020-11-04,17.0,0.2
2020-11-05,19.6,0.5
2020-11-06,19.6,0.3
2020-11-07,19.7,0.2
2020-11-08,19.8,0.1
2020-11-09,20.1,0.7
2020-11-10,20.9,1.3
2020-11-11,21.7,1.3
2020-11-12,21.7,2.4
2020-11-13,23.8,4.5
2020-11-14,24.7,5.4
2020-11-15,26.2,6.9
2020-11-16,27.4,7.5
2020-11-17,28.3,7.4
2020-11-18,29.4,8.2
2020-11-19,30.3,9.1
2020-11-20,30.8,9.8
2020-11-21,31.3,9.8
2020-11-22,31.3,9.9
2020-11-23,31.6,10.0
2020-11-24,32.9,11.1
2020-11-25,33.1,11.2
2020-11-26,33.1,11.3
2020-11-27,33.4,11.6
2020-11-28,33.6,11.6
2020-11-29,33.6,11.7
2020-11-30,34.8,13.0
2020-12-01,35.0,13.0
2020-12-02,34.9,13.1
2020-12-03,34.9,13.1
2020-12-04,34.9,13.1
2020-12-05,34.9,13.2
2020-12-06,34.9,13.2
2020-12-07,34.9,13.2
2020-12-08,37.0,12.6
2020-12-09,37.8,12.8
2020-12-10,37.9,12.9
2020-12-11,37.9,13.1
2020-12-12,38.1,13.3
2020-12-13,38.5,13.9
2020-12-14,39.0,14.3
2020-12-15,40.8,16.1
2020-12-16,41.7,17.1
2020-12-17,42.5,17.9
2020-12-18,43.5,18.5
2020-12-19,44.7,19.7
2020-12-20,45.0,19.5
2020-12-21,48.5,20.6
2020-12-22,48.7,20.5
2020-12-23,48.8,20.6
2020-12-24,48.8,20.7
2020-12-25,49.2,21.2
2020-12-26,49.9,22.0
2020-12-27,50.3,22.0
2020-12-28,50.3,22.1
2020-12-29,50.4,22.5
2020-12-30,52.4,24.6
2020-12-31,53.1,25.3
2021-01-01,54.6,26.4
2021-01-02,57.1,30.0
2021-01-03,57.7,30.8
2021-01-04,61.1,32.7
2021-01-05,61.8,33.9
2021-01-06,63.3,34.3
2021-01-07,63.3,34.5
2021-01-08,63.5,34.6
2021-01-09,63.6,34.7
2021-01-10,63.7,35.0
2021-01-11,64.6,36.0
2021-01-12,68.4,36.4
2021-01-13,69.1,34.8
2021-01-14,69.1,35.1
2021-01-15,69.7,35.1
2021-01-16,69.7,35.1
2021-01-17,70.3,35.7
2021-01-18,70.4,35.6
2021-01-19,70.4,35.9
2021-01-20,70.4,35.9
2021-01-21,70.5,35.9
2021-01-22,70.7,35.9
2021-01-23,70.8,36.1
2021-01-24,70.8,36.3
2021-01-25,71.0,36.4
2021-01-26,71.0,36.5
2021-01-27,71.1,36.6
2021-01-28,71.1,36.7
2021-01-29,71.1,36.8
2021-01-30,71.4,37.2
2021-01-31,71.5,37.5
2021-02-01,72.8,38.4
2021-02-02,74.5,39.4
2021-02-03,74.7,39.2
2021-02-04,75.7,40.6
2021-02-05,76.9,41.7
2021-02-06,78.7,43.5
2021-02-07,80.6,45.4
2021-02-08,81.2,45.5
2021-02-09,81.3,45.4
2021-02-10,81.3,45.4
2021-02-11,81.4,45.4
2021-02-12,81.4,45.9
2021-02-13,82.3,46.6
2021-02-14,83.0,47.2
2021-02-15,83.1,47.7
2021-02-16,83.1,48.6
2021-02-17,85.4,48.7
2021-02-18,85.4,49.4
2021-02-19,88.1,51.3
2021-02-20,88.1,51.6
2021-02-21,88.4,52.6
2021-02-22,89.1,54.0
2021-02-23,89.1,54.5
2021-02-24,89.3,54.7
2021-02-25,89.2,56.7
2021-02-26,89.1,57.9
2021-02-27,90.0,57.8
2021-02-28,90.5,58.1
2021-03-01,91.1,58.1
2021-03-02,91.1,58.1
2021-03-03,96.2,58.1
2021-03-04,96.4,58.4
2021-03-05,96.5,58.5
2021-03-06,96.7,58.7
2021-03-07,97.2,59.1
2021-03-08,97.5,59.1
2021-03-09,97.6,59.2
2021-03-10,97.7,59.1
2021-03-11,97.7,59.1
2021-03-12,97.7,59.4
2021-03-13,97.7,59.7
2021-03-14,98.4,60.1
2021-03-15,98.5,60.1
2021-03-16,98.5,60.3
2021-03-17,98.5,60.5
2021-03-18,98.9,60.8
2021-03-19,99.3,61.2
2021-03-20,100.0,61.6
2021-03-21,100.6,62.7
2021-03-22,101.1,62.6
2021-03-23,101.1,63.1
2021-03-24,101.5,63.6
2021-03-25,101.9,63.6
2021-03-26,101.9,63.6
2021-03-27,101.9,64.0
2021-03-28,103.4,65.3
2021-03-29,103.9,65.6
2021-03-30,103.9,65.7
2021-03-31,103.8,66.1
2021-04-01,103.9,65.8
2021-04-02,103.8,65.5
2021-04-03,104.2,65.9
2021-04-04,104.4,65.9
2021-04-05,104.4,65.9
2021-04-06,104.4,66.0
2021-04-07,105.8,67.1
2021-04-08,106.7,67.7
2021-04-09,107.1,68.4
2021-04-10,108.1,69.0
2021-04-11,108.1,69.1
2021-04-12,108.1,69.1
2021-04-13,108.0,69.3
2021-04-14,108.0,69.3
2021-04-15,107.9,68.9
