date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2023-10-01,0.3,0.0,36.5,41.7,34.7,0.0
2023-10-02,0.3,0.0,37.8,49.8,30.7,0.0
2023-10-03,0.3,0.0,42.6,53.6,29.8,0.0
2023-10-04,0.3,0.0,42.4,56.3,30.9,0.0
2023-10-05,0.3,0.0,43.0,58.6,29.7,0.0
2023-10-06,0.3,0.0,44.8,61.9,30.4,0.0
2023-10-07,0.3,0.0,46.6,66.2,31.6,0.0
2023-10-08,0.3,0.0,50.4,66.2,31.3,0.0
2023-10-09,0.3,0.0,50.5,59.7,44.2,0.0
2023-10-10,0.3,0.0,45.7,55.4,39.9,0.0
2023-10-11,0.3,0.0,37.9,47.1,27.1,0.0
2023-10-12,0.3,0.0,33.4,49.1,22.8,0.0
2023-10-13,0.3,0.0,42.3,56.8,23.4,0.0
2023-10-14,0.3,0.0,45.5,58.3,30.7,0.0
2023-10-15,0.3,0.0,47.7,66.2,28.9,0.0
2023-10-16,0.3,0.0,48.7,64.0,34.7,0.0
2023-10-17,0.3,0.0,43.5,61.3,27.7,0.0
2023-10-18,0.3,0.0,43.9,66.0,27.1,0.0
2023-10-19,0.3,0.0,45.9,67.5,30.0,0.0
2023-10-20,0.3,0.0,45.5,63.7,30.4,0.0
2023-10-21,0.4,0.0,48.6,61.7,34.0,0.0
2023-10-22,0.4,0.0,43.0,51.1,38.5,0.0
2023-10-23,0.4,0.0,39.0,53.1,28.0,0.0
2023-10-24,0.4,0.0,41.2,58.6,24.4,0.0
2023-10-25,0.5,1.0,38.5,46.9,30.7,0.1
2023-10-26,0.5,1.0,32.4,44.8,19.8,0.1
2023-10-27,0.5,0.0,35.6,48.7,19.6,0.0
2023-10-28,0.5,0.0,25.3,38.8,11.7,0.0
2023-10-29,0.5,0.0,28.2,43.7,14.4,0.0
2023-10-30,0.5,0.0,30.2,52.7,12.2,0.0
2023-10-31,0.5,0.0,34.3,59.7,17.1,0.0
2023-11-01,0.5,0.0,36.1,59.2,20.1,0.0
2023-11-02,0.7,0.0,42.1,57.4,26.4,0.0
2023-11-03,0.7,0.0,41.4,59.7,28.6,0.0
2023-11-04,0.7,0.0,46.8,58.3,28.9,0.0
2023-11-05,0.8,0.0,44.1,47.8,40.1,0.0
2023-11-06,2.0,3.0,35.6,41.5,29.5,0.8
2023-11-07,2.1,2.0,29.3,39.6,19.0,0.7
2023-11-08,2.1,3.0,26.2,38.1,12.6,0.7
2023-11-09,2.1,3.0,27.0,48.7,7.3,0.7
2023-11-10,2.1,2.0,31.3,48.6,19.9,0.7
2023-11-11,2.1,2.0,33.4,54.9,22.5,0.6
2023-11-12,2.2,1.0,37.4,51.1,21.6,0.5
2023-11-13,2.2,1.0,39.6,49.1,29.1,0.3
2023-11-14,2.2,1.0,38.3,49.6,25.9,0.2
2023-11-15,2.7,3.0,32.9,49.1,19.0,0.7
2023-11-16,2.9,2.0,35.8,41.9,32.2,0.8
2023-11-17,3.0,2.0,34.5,41.0,30.4,0.9
2023-11-18,3.4,4.0,34.7,37.4,29.3,1.2
2023-11-19,3.4,4.0,26.4,37.9,16.7,1.2
2023-11-20,3.4,4.0,26.6,49.5,13.3,1.2
2023-11-21,3.4,3.0,32.4,56.1,15.8,1.2
2023-11-22,3.4,2.0,36.0,56.7,21.4,1.2
2023-11-23,3.4,2.0,32.2,43.7,22.3,1.1
2023-11-24,3.4,2.0,22.6,29.8,19.4,1.1
2023-11-25,3.4,3.0,18.7,30.2,5.0,1.1
2023-11-26,3.4,3.0,17.8,40.1,1.2,1.1
2023-11-27,3.4,3.0,20.5,45.0,1.9,1.1
2023-11-28,3.4,3.0,24.6,44.4,8.2,1.1
2023-11-29,3.4,3.0,28.4,41.2,17.1,1.1
2023-11-30,3.7,4.0,28.6,36.1,21.7,1.3
2023-12-01,3.7,4.0,27.0,37.2,12.6,1.3
2023-12-02,3.7,4.0,31.1,35.2,22.5,1.3
2023-12-03,3.7,3.0,34.3,43.0,26.4,1.3
2023-12-04,3.7,3.0,30.6,47.8,18.7,1.3
2023-12-05,3.7,3.0,34.2,53.6,20.7,1.3
2023-12-06,4.6,10.0,35.6,44.4,26.6,2.0
2023-12-07,4.6,9.0,26.1,34.7,8.1,2.0
2023-12-08,4.6,8.0,13.6,37.9,-3.6,2.0
2023-12-09,4.6,7.0,23.9,50.4,0.7,2.0
2023-12-10,4.6,7.0,32.9,54.5,21.4,2.0
2023-12-11,4.6,7.0,28.9,47.7,16.2,2.0
2023-12-12,4.6,6.0,24.8,37.6,9.5,2.0
2023-12-13,4.6,6.0,25.9,39.9,10.2,2.0
2023-12-14,4.6,6.0,25.7,46.6,9.7,2.0
2023-12-15,4.6,6.0,28.6,51.4,16.2,2.0
2023-12-16,4.6,6.0,32.5,56.7,19.4,2.0
2023-12-17,4.6,5.0,35.2,55.6,20.5,2.0
2023-12-18,5.7,5.0,37.0,40.5,34.7,2.6
2023-12-19,7.1,12.0,34.5,37.0,32.4,3.6
2023-12-20,7.1,12.0,33.8,39.4,31.1,3.6
2023-12-21,7.1,11.0,33.6,41.9,28.2,3.6
2023-12-22,7.1,11.0,29.3,42.8,16.0,3.6
2023-12-23,7.1,11.0,20.5,39.9,8.4,3.6
2023-12-24,7.1,11.0,27.1,47.8,9.5,3.6
2023-12-25,7.1,9.0,33.8,46.8,25.5,3.6
2023-12-26,7.1,9.0,36.9,46.6,29.3,3.6
2023-12-27,7.2,11.0,38.1,45.3,30.2,3.7
2023-12-28,7.2,11.0,38.1,47.3,28.0,3.7
2023-12-29,7.2,11.0,38.5,46.4,28.8,3.7
2023-12-30,7.2,11.0,29.7,40.3,14.4,3.7
2023-12-31,7.2,11.0,23.0,37.4,9.3,3.7
2024-01-01,7.2,11.0,22.1,41.4,8.8,3.7
2024-01-02,7.6,18.0,28.2,39.9,10.8,4.0
2024-01-03,7.7,19.0,22.8,28.9,9.7,4.1
2024-01-04,7.7,18.0,16.3,36.1,0.0,4.1
2024-01-05,7.7,17.0,21.0,36.0,3.2,4.1
2024-01-06,8.7,23.0,19.4,29.1,3.7,4.9
2024-01-07,8.7,21.0,5.0,23.7,-14.4,4.9
2024-01-08,8.8,21.0,16.2,38.5,-8.0,5.0
2024-01-09,9.0,20.0,28.4,35.4,17.4,5.1
2024-01-10,9.9,26.0,24.3,27.1,17.1,5.8
2024-01-11,9.9,26.0,15.1,29.3,-4.9,5.8
2024-01-12,10.3,23.0,26.2,37.6,9.5,6.1
2024-01-13,11.0,27.0,31.6,33.6,29.5,6.5
2024-01-14,11.0,26.0,31.1,44.1,18.7,6.4
2024-01-15,11.0,25.0,27.7,47.7,13.3,6.3
2024-01-16,11.7,27.0,32.0,44.6,16.5,7.0
