date,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2023-10-01,0.0,45.5,54.0,39.0,0.0
2023-10-02,0.0,42.6,45.5,39.6,0.0
2023-10-03,0.0,45.1,49.1,41.0,0.0
2023-10-04,0.0,48.6,56.7,41.9,0.0
2023-10-05,0.0,55.8,69.1,46.2,0.0
2023-10-06,0.0,73.0,91.4,49.8,0.0
2023-10-07,0.0,81.0,93.0,63.7,0.0
2023-10-08,0.0,85.1,91.4,79.7,0.0
2023-10-09,0.0,64.2,83.3,39.7,0.0
2023-10-10,0.0,37.9,40.8,34.9,0.0
2023-10-11,0.0,37.4,41.2,34.3,0.0
2023-10-12,0.0,43.2,49.8,38.3,0.0
2023-10-13,0.0,44.8,51.6,40.3,0.0
2023-10-14,0.0,42.6,47.3,40.1,0.0
2023-10-15,0.0,45.9,53.1,41.2,0.0
2023-10-16,0.0,46.2,51.3,37.9,0.0
2023-10-17,0.0,41.2,49.6,37.8,0.0
2023-10-18,0.0,54.7,61.9,46.6,0.0
2023-10-19,0.0,55.6,64.2,47.7,0.0
2023-10-20,0.0,53.4,61.9,44.8,0.0
2023-10-21,0.0,53.2,61.7,45.7,0.0
2023-10-22,0.0,43.9,52.0,37.0,0.0
2023-10-23,0.0,35.2,39.6,29.8,0.0
2023-10-24,6.0,30.7,31.8,29.3,0.8
2023-10-25,6.0,30.6,38.3,28.0,0.9
2023-10-26,6.0,28.4,32.2,24.8,0.9
2023-10-27,6.0,26.8,35.1,23.4,0.9
2023-10-28,6.0,32.4,41.5,20.3,0.9
2023-10-29,4.0,41.0,47.3,30.9,0.9
2023-10-30,4.0,46.9,52.7,43.3,0.8
2023-10-31,3.0,47.5,52.9,43.7,0.7
2023-11-01,0.0,44.6,46.0,42.3,0.0
2023-11-02,0.0,45.0,48.9,40.1,0.0
2023-11-03,0.0,41.9,46.2,37.9,0.0
2023-11-04,0.0,44.6,48.4,38.8,0.0
2023-11-05,0.0,37.4,39.4,34.5,0.0
2023-11-06,7.0,35.2,36.1,34.0,1.0
2023-11-07,7.0,33.8,35.4,31.6,1.3
2023-11-08,7.0,33.1,36.9,28.8,1.3
2023-11-09,8.0,34.9,41.4,31.8,1.5
2023-11-10,12.0,32.4,33.1,31.5,2.2
2023-11-11,17.0,34.2,35.2,32.5,3.7
2023-11-12,16.0,35.1,37.9,31.3,3.8
2023-11-13,17.0,32.5,35.8,27.7,4.2
2023-11-14,14.0,37.4,45.5,28.0,4.0
2023-11-15,15.0,35.8,40.1,28.4,4.2
2023-11-16,14.0,35.8,42.1,27.9,4.0
2023-11-17,14.0,44.1,51.4,38.3,3.9
2023-11-18,13.0,41.7,47.7,34.9,4.0
2023-11-19,16.0,30.2,35.1,25.7,4.5
2023-11-20,14.0,36.3,46.2,25.9,4.4
2023-11-21,13.0,44.2,51.1,34.3,4.4
2023-11-22,14.0,33.4,37.9,27.3,4.5
2023-11-23,13.0,30.0,36.3,25.0,4.5
2023-11-24,13.0,33.4,39.9,28.8,4.5
2023-11-25,12.0,39.6,47.3,34.7,4.4
2023-11-26,13.0,40.3,46.6,36.9,4.4
2023-11-27,13.0,43.7,50.5,36.7,4.5
2023-11-28,13.0,38.5,44.4,33.3,4.4
2023-11-29,13.0,31.5,35.8,27.1,4.4
2023-11-30,15.0,28.0,30.2,25.9,4.7
2023-12-01,27.0,27.3,29.1,25.9,6.1
2023-12-02,30.0,28.8,30.6,27.3,7.0
2023-12-03,30.0,32.9,36.9,27.5,7.6
2023-12-04,20.0,41.0,45.1,34.0,7.0
2023-12-05,11.0,43.0,45.3,41.7,5.0
2023-12-06,12.0,34.9,42.1,31.3,5.1
2023-12-07,27.0,28.4,31.5,25.9,6.0
2023-12-08,24.0,25.5,30.7,21.6,6.2
2023-12-09,32.0,26.2,30.7,21.7,7.7
2023-12-10,33.0,34.3,36.7,30.2,8.3
2023-12-11,32.0,34.9,39.9,31.8,8.3
2023-12-12,31.0,34.0,37.9,28.4,8.3
2023-12-13,30.0,36.9,42.3,30.0,8.2
2023-12-14,30.0,36.3,40.3,32.4,8.2
2023-12-15,29.0,40.5,44.1,37.2,8.1
2023-12-16,29.0,45.1,49.3,41.4,8.1
2023-12-17,27.0,53.4,69.1,45.7,8.1
2023-12-18,26.0,47.5,54.3,39.4,8.0
2023-12-19,25.0,39.4,76.1,35.4,8.3
2023-12-20,25.0,43.7,50.9,40.8,8.2
2023-12-21,24.0,42.6,48.2,39.7,8.2
2023-12-22,23.0,32.2,41.7,25.2,8.4
2023-12-23,24.0,28.0,36.0,23.4,8.4
2023-12-24,25.0,30.4,32.5,27.5,8.5
2023-12-25,26.0,32.4,37.0,27.5,9.0
2023-12-26,26.0,34.3,36.5,32.0,8.9
2023-12-27,26.0,35.4,37.4,32.2,9.0
2023-12-28,26.0,37.0,39.6,34.3,9.1
2023-12-29,26.0,39.9,43.9,37.0,8.9
2023-12-30,24.0,36.7,39.0,32.9,8.9
2023-12-31,24.0,,,,9.2
2024-01-01,24.0,31.8,36.5,28.8,9.3
2024-01-02,27.0,31.1,33.8,27.9,9.5
2024-01-03,30.0,31.6,32.9,30.2,10.0
2024-01-04,33.0,30.0,33.3,27.0,10.6
2024-01-05,35.0,28.6,31.6,26.2,11.2
2024-01-06,47.0,26.6,29.1,23.7,12.6
2024-01-07,47.0,24.3,28.8,22.3,13.0
2024-01-08,52.0,27.1,34.2,22.8,14.9
2024-01-09,67.0,26.2,32.0,22.3,17.2
2024-01-10,65.0,23.5,26.8,21.9,17.5
2024-01-11,56.0,20.3,23.5,15.3,16.7
2024-01-12,56.0,6.6,16.2,-7.4,16.7
2024-01-13,56.0,5.0,19.4,-8.9,16.8
2024-01-14,54.0,28.2,48.2,18.3,16.7
2024-01-15,54.0,24.1,32.7,16.5,16.7
2024-01-16,54.0,36.3,41.2,28.0,16.8
2024-01-17,60.0,33.3,36.9,28.9,18.3
2024-01-18,67.0,26.2,34.3,21.6,19.4
2024-01-19,65.0,41.2,46.4,27.0,19.6
2024-01-20,63.0,40.8,47.1,36.0,19.8
2024-01-21,67.0,37.2,39.0,35.2,20.7
2024-01-22,69.0,37.8,38.7,36.0,21.4
2024-01-23,67.0,36.3,38.5,33.1,21.5
2024-01-24,74.0,35.8,37.9,33.3,22.3
2024-01-25,77.0,35.6,37.4,33.8,23.0
2024-01-26,73.0,38.1,43.0,35.6,23.5
2024-01-27,67.0,45.3,47.5,42.3,22.9
2024-01-28,60.0,47.3,52.2,45.7,20.9
2024-01-29,56.0,52.0,55.9,44.1,19.9
2024-01-30,53.0,42.1,45.5,39.7,19.2
2024-01-31,52.0,39.6,45.9,37.2,18.6
2024-02-01,51.0,35.6,42.1,32.5,18.4
2024-02-02,50.0,32.0,34.2,29.1,18.5
2024-02-03,49.0,29.7,31.6,27.3,18.7
2024-02-04,48.0,32.2,38.8,26.8,18.8
2024-02-05,53.0,34.5,36.3,32.2,19.2
2024-02-06,56.0,34.2,36.0,31.1,19.7
2024-02-07,55.0,29.8,37.4,26.8,19.8
2024-02-08,56.0,26.6,29.5,24.4,20.2
2024-02-09,57.0,26.1,32.2,23.9,20.3
2024-02-10,56.0,30.9,36.9,24.3,20.3
2024-02-11,56.0,33.3,36.3,31.5,20.7
2024-02-12,62.0,30.7,33.8,27.7,21.4
2024-02-13,61.0,31.1,38.1,27.1,21.5
2024-02-14,67.0,22.6,27.5,19.4,22.1
2024-02-15,72.0,21.6,27.1,18.9,22.6
2024-02-16,70.0,20.1,27.9,15.8,22.6
2024-02-17,68.0,23.4,27.5,18.1,22.7
2024-02-18,67.0,30.6,34.5,24.4,22.9
2024-02-19,68.0,32.0,34.7,28.9,23.1
2024-02-20,70.0,33.4,35.4,32.2,23.6
2024-02-21,74.0,32.4,34.0,31.5,24.4
2024-02-22,69.0,33.3,39.4,30.4,24.4
2024-02-23,70.0,35.6,45.3,30.9,24.4
2024-02-24,70.0,30.7,32.2,28.9,24.6
2024-02-25,80.0,30.9,33.4,22.3,26.4
2024-02-26,79.0,20.8,27.1,16.7,26.5
2024-02-27,82.0,22.1,28.9,14.2,27.3
2024-02-28,94.0,31.1,32.5,28.8,29.5
2024-02-29,104.0,26.4,32.0,22.8,31.3
2024-03-01,107.0,23.2,30.4,19.9,32.1
2024-03-02,108.0,23.9,34.7,19.4,32.5
2024-03-03,110.0,22.3,26.6,19.2,33.3
2024-03-04,108.0,23.7,34.7,19.6,33.7
2024-03-05,106.0,21.9,37.9,16.3,33.7
2024-03-06,104.0,20.8,32.7,14.2,33.6
2024-03-07,102.0,23.7,33.4,15.3,33.6
2024-03-08,100.0,32.0,37.2,27.0,33.6
2024-03-09,100.0,30.0,33.3,25.5,33.9
