date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
2023-10-01,0.4,0.0,37.6,41.0,34.0
2023-10-02,0.4,0.0,39.0,41.4,37.0
2023-10-03,0.5,0.0,43.0,47.1,39.4
2023-10-04,0.5,0.0,46.6,56.7,40.3
2023-10-05,0.5,0.0,49.5,60.6,38.1
2023-10-06,0.5,0.0,53.2,63.7,42.3
2023-10-07,0.5,0.0,54.5,68.4,41.7
2023-10-08,0.5,0.0,59.5,71.1,48.6
2023-10-09,0.5,0.0,59.2,69.8,46.8
2023-10-10,0.5,0.0,45.9,53.8,38.1
2023-10-11,0.7,0.0,36.9,41.5,33.3
2023-10-12,0.7,0.0,37.2,45.5,32.9
2023-10-13,0.7,0.0,45.3,52.0,34.3
2023-10-14,0.7,0.0,48.9,57.6,43.3
2023-10-15,0.7,0.0,56.5,66.7,46.9
2023-10-16,0.7,0.0,59.5,68.5,46.6
2023-10-17,0.7,0.0,50.7,60.8,40.3
2023-10-18,0.7,0.0,53.4,64.6,42.6
2023-10-19,0.7,0.0,57.7,71.4,45.1
2023-10-20,0.7,0.0,57.6,70.0,48.6
2023-10-21,0.7,0.0,55.0,65.8,44.4
2023-10-22,0.8,0.0,55.4,64.0,43.7
2023-10-23,0.8,0.0,44.2,52.3,37.4
2023-10-24,1.0,0.0,45.0,53.4,35.4
2023-10-25,1.3,1.0,38.5,48.4,26.8
2023-10-26,1.3,1.0,27.0,32.4,22.6
2023-10-27,1.3,1.0,31.1,38.3,26.2
2023-10-28,1.3,1.0,23.2,30.0,17.4
2023-10-29,1.3,1.0,26.1,35.6,16.7
2023-10-30,1.3,0.0,32.7,43.7,19.9
2023-10-31,1.4,0.0,42.6,52.5,30.6
2023-11-01,1.4,0.0,45.1,52.3,39.0
2023-11-02,1.5,0.0,46.4,52.9,41.7
2023-11-03,1.5,0.0,46.9,53.4,41.9
2023-11-04,1.5,0.0,50.4,57.9,46.4
2023-11-05,1.5,0.0,45.3,47.5,42.3
2023-11-06,1.6,0.0,42.1,48.4,35.4
2023-11-07,1.6,0.0,32.7,36.7,28.9
2023-11-08,1.6,0.0,28.8,37.2,19.4
2023-11-09,1.7,0.0,34.9,44.2,23.5
2023-11-10,1.7,0.0,36.7,42.8,31.5
2023-11-11,1.7,0.0,40.3,46.9,33.8
2023-11-12,1.7,0.0,45.7,52.9,36.1
2023-11-13,1.7,0.0,45.5,51.4,37.9
2023-11-14,1.7,0.0,44.6,52.5,39.6
2023-11-15,1.7,0.0,45.7,51.3,39.0
2023-11-16,1.8,0.0,37.8,44.6,32.2
2023-11-17,1.8,0.0,40.3,48.6,32.2
2023-11-18,2.2,1.0,40.5,44.4,35.8
2023-11-19,2.2,1.0,28.8,35.4,21.7
2023-11-20,2.2,1.0,25.0,33.6,15.4
2023-11-21,2.2,0.0,36.7,46.8,22.6
2023-11-22,2.2,0.0,38.1,48.7,30.9
2023-11-23,2.5,4.0,27.7,33.8,23.5
