date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2023-10-01,0.5,0.0,38.1,48.2,33.3,0.0
2023-10-02,1.1,1.0,32.7,35.6,30.7,0.1
2023-10-03,1.5,0.0,33.1,34.9,31.3,0.0
2023-10-04,1.7,0.0,36.0,43.5,32.2,0.0
2023-10-05,1.7,0.0,42.1,51.3,33.8,0.0
2023-10-06,1.7,0.0,46.9,59.0,37.9,0.0
2023-10-07,1.7,0.0,48.4,58.6,41.4,0.0
2023-10-08,1.7,0.0,49.1,60.6,41.2,0.0
2023-10-09,1.7,0.0,49.5,61.0,40.6,0.0
2023-10-10,1.7,0.0,50.2,57.7,43.5,0.0
2023-10-11,3.2,6.0,31.8,43.5,25.9,1.1
2023-10-12,3.8,7.0,27.9,29.8,25.3,1.6
2023-10-13,3.8,4.0,32.5,39.6,26.4,1.4
2023-10-14,3.8,3.0,38.5,49.8,29.3,1.1
2023-10-15,3.8,2.0,46.0,55.8,37.6,0.6
2023-10-16,3.8,1.0,50.7,62.1,43.3,0.1
2023-10-17,3.8,0.0,49.6,59.4,43.0,0.0
2023-10-18,3.8,0.0,47.1,56.1,40.1,0.0
2023-10-19,3.8,0.0,52.0,64.8,43.2,0.0
2023-10-20,3.8,0.0,51.8,62.4,44.4,0.0
2023-10-21,3.8,0.0,49.1,61.3,42.1,0.0
2023-10-22,3.8,0.0,49.5,60.6,41.7,0.0
2023-10-23,3.8,0.0,43.2,52.9,34.5,0.0
2023-10-24,3.8,0.0,40.1,46.8,33.4,0.0
2023-10-25,3.8,0.0,44.2,50.9,38.3,0.0
2023-10-26,4.8,4.0,21.4,38.3,12.2,0.6
2023-10-27,4.8,2.0,26.1,35.2,14.9,0.6
2023-10-28,4.8,2.0,19.6,24.8,15.4,0.6
2023-10-29,4.8,2.0,17.4,28.8,10.4,0.6
2023-10-30,4.8,2.0,22.6,30.2,15.3,0.6
2023-10-31,4.8,2.0,32.4,41.9,23.0,0.6
2023-11-01,4.8,2.0,36.0,45.7,30.0,0.6
2023-11-02,4.8,1.0,40.1,49.8,30.7,0.5
2023-11-03,4.8,1.0,39.2,44.6,34.0,0.2
2023-11-04,4.8,0.0,44.1,53.2,34.9,0.0
2023-11-05,4.8,0.0,45.7,50.0,38.8,0.0
2023-11-06,4.8,0.0,43.2,47.1,32.7,0.0
2023-11-07,5.8,8.0,26.4,32.7,16.5,1.0
2023-11-08,5.8,5.0,20.8,28.8,15.6,1.0
2023-11-09,5.8,4.0,22.5,35.2,13.6,1.0
2023-11-10,5.8,4.0,26.6,37.8,19.8,1.0
2023-11-11,5.8,3.0,29.5,38.8,22.8,1.0
2023-11-12,5.8,3.0,38.7,49.8,27.0,1.0
2023-11-13,5.8,3.0,42.4,49.3,37.4,1.0
2023-11-14,5.8,2.0,39.6,45.0,35.1,1.0
2023-11-15,5.9,2.0,42.6,48.0,37.9,1.0
2023-11-16,6.6,2.0,33.1,40.5,28.0,1.0
