date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2023-10-01,0.4,0.0,37.9,41.0,34.7,0.0
2023-10-02,0.5,0.0,39.7,46.6,36.1,0.0
2023-10-03,0.6,0.0,42.3,47.7,36.7,0.0
2023-10-04,0.6,0.0,46.4,57.0,38.5,0.0
2023-10-05,0.6,0.0,48.9,63.3,37.0,0.0
2023-10-06,0.6,0.0,52.2,64.2,41.4,0.0
2023-10-07,0.6,0.0,53.6,67.6,41.5,0.0
2023-10-08,0.6,0.0,55.4,69.4,43.9,0.0
2023-10-09,0.6,0.0,56.3,69.6,44.4,0.0
2023-10-10,0.6,0.0,48.2,57.7,40.6,0.0
2023-10-11,0.7,0.0,36.5,41.9,32.2,0.0
2023-10-12,0.7,0.0,36.0,46.2,29.7,0.0
2023-10-13,0.8,0.0,38.8,50.7,28.9,0.0
2023-10-14,0.8,0.0,45.9,57.0,37.2,0.0
2023-10-15,0.8,0.0,51.3,64.8,39.6,0.0
2023-10-16,0.8,0.0,56.8,69.6,42.8,0.0
2023-10-17,0.8,0.0,52.7,63.0,40.6,0.0
2023-10-18,0.8,0.0,51.4,64.8,39.2,0.0
2023-10-19,0.8,0.0,54.5,70.5,42.3,0.0
2023-10-20,0.8,0.0,56.8,70.7,46.4,0.0
2023-10-21,0.8,0.0,53.4,67.8,45.0,0.0
2023-10-22,0.9,0.0,52.0,63.9,40.8,0.0
2023-10-23,0.9,0.0,44.1,51.4,36.1,0.0
2023-10-24,0.9,0.0,43.9,52.2,32.7,0.0
2023-10-25,1.0,0.0,40.1,47.8,27.7,0.0
2023-10-26,1.0,0.0,26.1,32.9,21.0,0.0
2023-10-27,1.0,0.0,29.5,41.2,18.7,0.0
2023-10-28,1.0,0.0,19.8,29.5,12.2,0.0
2023-10-29,1.1,0.0,21.6,34.5,10.2,0.0
2023-10-30,1.1,0.0,28.4,41.7,16.3,0.0
2023-10-31,1.1,0.0,36.1,49.6,24.1,0.0
2023-11-01,1.1,0.0,42.3,54.3,32.4,0.0
2023-11-02,1.1,0.0,45.0,53.6,36.0,0.0
2023-11-03,1.1,0.0,45.9,55.0,36.1,0.0
2023-11-04,1.2,0.0,46.4,56.3,36.3,0.0
2023-11-05,1.2,0.0,45.5,50.0,38.7,0.0
2023-11-06,1.2,0.0,42.3,49.3,35.1,0.0
2023-11-07,1.2,0.0,32.2,37.4,27.0,0.0
2023-11-08,1.2,0.0,27.9,38.3,19.2,0.0
2023-11-09,1.3,0.0,27.5,41.2,17.2,0.0
2023-11-10,1.3,0.0,33.6,42.6,27.1,0.0
2023-11-11,1.3,0.0,36.3,45.9,27.0,0.0
2023-11-12,1.3,0.0,39.0,51.3,27.5,0.0
2023-11-13,1.3,0.0,39.0,47.1,32.4,0.0
2023-11-14,1.3,0.0,39.6,50.7,31.6,0.0
2023-11-15,1.3,0.0,42.3,52.2,31.1,0.0
2023-11-16,1.5,0.0,35.1,43.7,29.7,0.0
2023-11-17,1.5,0.0,35.6,46.2,28.2,0.0
2023-11-18,1.7,2.0,35.1,43.7,30.9,0.2
2023-11-19,1.9,2.0,27.1,33.8,21.6,0.4
2023-11-20,1.9,1.0,21.7,31.8,11.8,0.4
2023-11-21,1.9,1.0,30.9,42.6,21.4,0.4
2023-11-22,1.9,1.0,32.4,44.8,23.4,0.4
2023-11-23,2.0,4.0,27.9,33.4,21.4,0.5
2023-11-24,2.1,4.0,21.6,27.1,17.2,0.5
2023-11-25,2.1,2.0,18.7,30.0,11.3,0.5
2023-11-26,2.1,2.0,18.1,30.9,9.9,0.5
2023-11-27,2.1,2.0,25.0,37.9,14.5,0.5
2023-11-28,2.1,2.0,28.4,43.9,20.3,0.5
2023-11-29,2.1,2.0,28.4,38.3,20.7,0.5
2023-11-30,2.2,4.0,27.0,32.5,20.8,0.6
