date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2023-10-01,0.0,0.0,41.5,44.2,39.9,0.0
2023-10-02,0.0,0.0,43.2,48.4,38.5,0.0
2023-10-03,0.2,0.0,44.2,49.1,40.8,0.0
2023-10-04,0.2,0.0,46.8,54.0,42.3,0.0
2023-10-05,0.2,0.0,48.4,59.7,40.3,0.0
2023-10-06,0.2,0.0,44.1,64.0,34.9,0.0
2023-10-07,0.2,0.0,44.6,67.8,33.6,0.0
2023-10-08,0.2,0.0,46.8,69.6,36.0,0.0
2023-10-09,0.2,0.0,48.6,71.1,36.7,0.0
2023-10-10,0.3,0.0,45.9,57.7,39.6,0.0
2023-10-11,0.3,0.0,38.8,45.9,32.4,0.0
2023-10-12,0.3,0.0,40.8,51.4,32.0,0.0
2023-10-13,0.3,0.0,39.2,53.4,30.2,0.0
2023-10-14,0.4,0.0,40.3,53.4,31.6,0.0
2023-10-15,0.4,0.0,46.8,62.1,38.3,0.0
2023-10-16,0.4,0.0,46.9,58.8,36.7,0.0
2023-10-17,0.4,0.0,46.0,53.2,35.4,0.0
2023-10-18,0.4,0.0,43.3,63.3,32.9,0.0
2023-10-19,0.4,0.0,46.8,68.7,36.0,0.0
2023-10-20,0.4,0.0,46.9,67.6,37.2,0.0
2023-10-21,0.4,0.0,45.1,64.6,36.3,0.0
2023-10-22,0.4,0.0,45.7,59.2,36.5,0.0
2023-10-23,0.4,0.0,42.4,50.4,30.9,0.0
2023-10-24,0.6,0.0,36.3,48.6,27.7,0.0
2023-10-25,1.1,4.0,29.5,35.1,22.6,0.4
2023-10-26,1.3,2.0,24.8,30.0,20.3,0.5
2023-10-27,1.3,6.0,23.5,30.0,17.4,0.6
2023-10-28,1.3,5.0,19.9,29.3,14.7,0.6
2023-10-29,1.3,4.0,19.0,33.6,10.6,0.6
2023-10-30,1.4,4.0,23.0,36.1,14.9,0.6
2023-10-31,1.4,3.0,27.3,37.8,19.0,0.7
2023-11-01,1.5,3.0,32.2,40.1,24.3,0.7
2023-11-02,2.3,1.0,37.9,42.6,34.9,0.6
2023-11-03,2.4,1.0,36.5,42.3,30.6,0.5
2023-11-04,2.8,0.0,36.0,40.8,30.0,0.0
2023-11-05,3.6,0.0,37.8,42.4,34.5,0.0
2023-11-06,4.0,1.0,35.2,38.8,32.9,0.1
2023-11-07,4.1,1.0,33.3,36.3,28.9,0.3
2023-11-08,4.1,1.0,31.5,36.3,23.7,0.2
2023-11-09,4.2,2.0,25.9,34.3,19.6,0.3
2023-11-10,4.2,2.0,30.2,34.9,24.6,0.3
2023-11-11,4.2,1.0,34.0,40.1,29.1,0.3
2023-11-12,4.2,1.0,33.6,40.5,29.1,0.3
2023-11-13,4.2,2.0,34.0,49.8,29.3,0.3
2023-11-14,4.3,2.0,34.0,46.9,27.5,0.4
2023-11-15,4.3,1.0,39.9,50.0,33.3,0.4
2023-11-16,4.3,1.0,37.6,42.1,29.5,0.4
2023-11-17,4.3,1.0,29.3,37.0,25.5,0.4
2023-11-18,4.3,1.0,30.9,39.7,24.8,0.4
2023-11-19,4.5,2.0,31.8,35.8,28.6,0.7
2023-11-20,4.5,2.0,27.9,32.4,22.1,0.7
2023-11-21,4.6,2.0,27.1,36.1,21.0,0.8
2023-11-22,4.7,2.0,32.2,36.5,25.9,0.9
2023-11-23,4.7,2.0,30.2,33.4,24.1,0.9
2023-11-24,4.7,2.0,19.9,26.1,10.4,0.9
2023-11-25,4.7,2.0,15.1,26.2,7.3,0.9
2023-11-26,4.7,2.0,20.7,34.3,12.4,0.9
