date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2023-10-01,0.0,0.0,42.1,49.1,34.5,0.0
2023-10-02,0.0,0.0,40.6,49.5,34.3,0.0
2023-10-03,0.0,0.0,39.0,46.6,31.5,0.0
2023-10-04,0.0,0.0,43.3,53.8,31.6,0.0
2023-10-05,0.0,0.0,42.6,55.2,32.9,0.0
2023-10-06,0.0,0.0,38.8,52.9,30.6,0.0
2023-10-07,0.1,0.0,43.2,63.1,32.0,0.0
2023-10-08,0.1,0.0,45.3,63.7,34.5,0.0
2023-10-09,0.1,0.0,47.1,65.8,35.1,0.0
2023-10-10,0.2,0.0,47.7,62.4,36.1,0.0
2023-10-11,2.1,6.0,37.9,47.1,34.0,1.3
2023-10-12,4.1,19.0,34.0,34.3,33.3,3.0
2023-10-13,4.2,16.0,33.3,36.5,26.8,2.9
2023-10-14,4.3,15.0,33.1,45.1,25.9,2.8
2023-10-15,4.3,14.0,36.7,52.5,30.6,2.7
2023-10-16,4.4,11.0,40.5,59.5,34.2,2.6
2023-10-17,4.4,9.0,46.6,59.7,36.5,2.4
2023-10-18,4.5,7.0,49.3,59.9,39.4,2.2
2023-10-19,4.5,6.0,48.7,63.9,39.7,2.0
2023-10-20,4.5,5.0,45.9,64.9,37.6,1.8
2023-10-21,4.5,4.0,43.3,59.9,35.8,1.6
2023-10-22,4.5,3.0,44.8,61.2,37.2,1.4
2023-10-23,4.8,3.0,38.7,44.8,34.7,1.3
2023-10-24,4.8,2.0,36.7,48.2,30.9,1.1
2023-10-25,5.2,7.0,27.7,34.0,16.5,1.6
2023-10-26,5.3,7.0,11.8,17.1,3.0,1.7
2023-10-27,5.3,6.0,17.6,31.3,10.6,1.7
2023-10-28,5.3,6.0,14.4,21.0,8.2,1.7
2023-10-29,5.3,6.0,13.3,27.0,3.9,1.7
2023-10-30,5.4,6.0,22.5,38.3,9.7,1.8
2023-10-31,5.6,6.0,32.9,48.2,14.7,1.8
2023-11-01,5.6,5.0,39.9,50.2,31.5,1.7
2023-11-02,5.6,5.0,41.9,51.4,35.4,1.6
2023-11-03,5.6,3.0,41.9,48.7,35.6,1.6
2023-11-04,5.6,4.0,37.4,48.7,28.2,1.6
2023-11-05,5.6,4.0,42.8,48.0,36.1,1.6
2023-11-06,5.6,3.0,41.9,50.0,34.5,1.5
2023-11-07,5.6,3.0,35.4,41.7,30.7,1.5
2023-11-08,5.6,4.0,31.3,40.6,26.4,1.7
2023-11-09,5.6,3.0,30.9,38.8,23.5,1.8
2023-11-10,5.6,3.0,33.6,46.4,24.8,1.8
2023-11-11,5.6,3.0,35.4,44.8,25.2,1.8
2023-11-12,5.6,3.0,33.1,48.6,26.8,1.8
2023-11-13,5.6,3.0,35.1,52.9,29.3,1.8
2023-11-14,5.6,3.0,37.2,48.9,28.8,1.8
2023-11-15,5.7,3.0,39.4,52.7,28.4,1.8
2023-11-16,5.7,2.0,42.6,48.7,37.8,1.8
2023-11-17,5.7,3.0,34.3,50.7,28.2,1.8
2023-11-18,5.7,3.0,32.2,45.3,26.4,1.8
2023-11-19,5.7,3.0,32.9,41.9,26.8,1.8
2023-11-20,5.7,3.0,26.2,34.3,20.3,1.8
2023-11-21,5.8,3.0,36.3,52.2,21.0,1.7
2023-11-22,5.8,3.0,39.0,51.4,30.0,1.7
2023-11-23,6.5,15.0,22.3,30.2,14.4,2.7
2023-11-24,6.6,12.0,11.1,15.6,5.2,2.8
2023-11-25,6.6,12.0,12.6,28.6,5.7,2.8
2023-11-26,6.6,12.0,15.8,26.4,5.9,2.8
2023-11-27,6.6,10.0,26.4,41.2,7.3,2.8
2023-11-28,6.6,10.0,33.4,47.3,24.3,2.8
2023-11-29,6.6,10.0,25.9,43.5,16.3,2.8
2023-11-30,6.6,10.0,18.3,26.1,12.2,2.8
2023-12-01,6.6,10.0,19.2,32.4,10.9,2.8
2023-12-02,6.7,9.0,25.9,33.4,20.5,2.8
2023-12-03,6.8,9.0,29.1,39.6,19.9,2.8
2023-12-04,6.8,8.0,40.1,46.0,37.2,2.8
2023-12-05,6.8,7.0,43.0,52.2,34.3,2.8
2023-12-06,6.8,7.0,36.7,52.3,29.3,2.8
2023-12-07,6.8,7.0,33.3,40.5,26.6,2.8
2023-12-08,6.8,9.0,22.1,27.7,14.7,2.8
2023-12-09,6.8,9.0,14.7,30.4,7.3,2.8
2023-12-10,6.8,8.0,33.4,40.6,24.4,2.8
2023-12-11,6.8,8.0,28.2,40.1,17.2,2.9
2023-12-12,6.9,9.0,20.1,35.1,13.8,3.0
2023-12-13,6.9,9.0,20.3,40.3,11.3,3.0
2023-12-14,6.9,9.0,26.6,46.9,17.8,3.0
2023-12-15,6.9,8.0,26.1,39.6,17.6,3.0
2023-12-16,6.9,8.0,36.9,48.6,29.3,3.0
2023-12-17,6.9,9.0,32.9,46.0,22.3,3.0
2023-12-18,6.9,8.0,32.2,50.5,23.7,3.0
2023-12-19,6.9,9.0,32.7,48.6,27.9,3.0
2023-12-20,6.9,9.0,32.9,45.3,26.4,3.0
2023-12-21,6.9,8.0,30.6,44.6,25.3,3.0
2023-12-22,6.9,8.0,26.8,41.7,21.7,3.0
2023-12-23,7.3,19.0,23.5,35.1,13.5,3.4
2023-12-24,7.3,16.0,7.0,21.2,-1.1,3.5
2023-12-25,7.3,14.0,11.7,28.4,4.6,3.5
2023-12-26,7.4,14.0,14.4,36.5,7.3,3.6
2023-12-27,7.4,14.0,18.3,36.7,12.2,3.6
2023-12-28,7.4,14.0,28.2,42.8,16.3,3.5
2023-12-29,7.4,14.0,27.7,46.8,18.5,3.5
2023-12-30,7.4,13.0,27.3,44.2,22.8,3.5
2023-12-31,7.4,13.0,28.8,43.9,23.2,3.5
2024-01-01,7.4,13.0,22.6,40.1,14.0,3.6
2024-01-02,7.4,12.0,17.6,37.8,10.0,3.7
2024-01-03,7.4,13.0,18.0,36.3,11.3,3.7
2024-01-04,7.4,12.0,21.2,33.3,13.8,3.6
2024-01-05,7.4,13.0,22.5,30.2,11.1,3.6
2024-01-06,7.5,13.0,19.6,29.7,10.4,3.7
2024-01-07,7.5,14.0,15.1,22.8,9.3,3.7
2024-01-08,7.5,14.0,10.9,24.8,-0.9,3.8
2024-01-09,7.5,14.0,27.3,36.3,19.6,3.8
2024-01-10,7.5,12.0,17.4,26.4,6.6,3.8
2024-01-11,7.5,13.0,10.4,21.0,-0.6,3.8
2024-01-12,7.5,13.0,-8.7,8.6,-26.3,3.8
