date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
2023-10-01,0.0,0.0,48.7,63.5,38.7
2023-10-02,0.0,0.0,49.1,53.6,44.1
2023-10-03,0.0,0.0,52.5,61.7,48.6
2023-10-04,0.0,0.0,54.0,63.1,48.4
2023-10-05,0.0,0.0,57.4,72.7,51.8
2023-10-06,0.0,0.0,55.2,73.0,46.2
2023-10-07,0.0,0.0,54.7,70.7,45.3
2023-10-08,0.0,0.0,56.3,72.0,46.4
2023-10-09,0.0,0.0,54.7,63.3,47.8
2023-10-10,0.1,0.0,51.8,56.8,48.0
2023-10-11,0.4,0.0,50.2,59.4,46.0
2023-10-12,0.5,0.0,51.1,60.1,44.6
2023-10-13,0.5,0.0,49.6,63.7,38.7
2023-10-14,0.5,0.0,51.6,57.0,47.8
2023-10-15,0.6,0.0,51.8,56.5,46.4
2023-10-16,1.4,0.0,50.9,56.5,46.4
2023-10-17,1.5,0.0,47.3,52.3,42.3
2023-10-18,1.5,0.0,52.3,61.3,47.8
2023-10-19,1.5,0.0,53.6,59.0,48.4
2023-10-20,1.5,0.0,54.3,60.8,47.3
2023-10-21,1.5,0.0,49.1,57.6,43.0
2023-10-22,1.5,0.0,49.1,57.2,45.9
2023-10-23,1.5,0.0,46.6,56.1,40.6
2023-10-24,1.8,0.0,41.2,46.2,37.0
2023-10-25,1.8,0.0,37.0,42.6,30.7
2023-10-26,1.9,0.0,34.5,44.8,29.1
2023-10-27,1.9,0.0,32.0,43.0,26.2
2023-10-28,1.9,0.0,31.6,44.2,24.4
2023-10-29,1.9,0.0,34.5,50.7,27.0
2023-10-30,1.9,0.0,35.8,50.4,28.4
2023-10-31,1.9,0.0,36.7,49.8,29.1
2023-11-01,1.9,0.0,38.7,47.5,30.9
2023-11-02,3.3,0.0,45.9,50.0,39.9
2023-11-03,3.4,0.0,47.3,54.0,43.5
2023-11-04,4.3,0.0,48.7,53.2,45.7
2023-11-05,4.4,0.0,45.9,49.5,42.1
2023-11-06,4.5,0.0,44.1,45.5,41.5
2023-11-07,4.6,0.0,43.2,49.3,35.2
2023-11-08,4.6,0.0,38.5,47.3,33.3
2023-11-09,4.6,0.0,40.5,46.2,36.5
2023-11-10,4.8,0.0,43.3,46.9,39.2
2023-11-11,6.2,0.0,41.5,43.7,39.6
2023-11-12,6.3,0.0,40.5,43.3,38.7
2023-11-13,6.6,0.0,40.1,45.5,34.5
2023-11-14,6.6,0.0,35.6,41.4,31.6
2023-11-15,6.6,0.0,33.4,37.9,31.3
2023-11-16,6.6,0.0,31.6,36.9,28.4
2023-11-17,6.6,0.0,33.1,40.5,29.7
2023-11-18,6.6,0.0,34.3,39.7,31.3
2023-11-19,6.7,0.0,40.1,45.7,33.4
2023-11-20,6.7,0.0,34.7,40.6,31.3
2023-11-21,6.7,0.0,35.4,42.1,29.7
2023-11-22,6.7,0.0,39.9,44.1,33.1
2023-11-23,6.8,0.0,35.1,44.6,29.8
2023-11-24,6.8,0.0,32.2,36.0,28.0
2023-11-25,6.8,0.0,34.2,43.3,31.1
2023-11-26,6.8,0.0,32.2,36.3,29.7
2023-11-27,6.8,0.0,30.9,36.1,27.5
2023-11-28,6.8,0.0,29.3,34.5,24.1
2023-11-29,6.8,1.0,29.8,35.1,24.1
2023-11-30,6.8,0.0,31.8,36.0,28.2
2023-12-01,6.8,0.0,34.7,37.6,32.2
2023-12-02,7.5,2.0,35.4,38.3,33.8
2023-12-03,7.7,2.0,36.0,40.1,33.6
2023-12-04,9.0,0.0,37.2,40.3,33.8
2023-12-05,11.4,0.0,42.1,45.1,38.3
2023-12-06,11.6,0.0,41.4,43.2,38.8
2023-12-07,11.7,0.0,38.7,41.4,34.5
2023-12-08,11.7,0.0,34.9,38.5,33.3
2023-12-09,12.3,2.0,33.8,36.3,32.7
2023-12-10,12.4,1.0,35.8,37.9,34.3
2023-12-11,12.4,0.0,36.1,38.5,33.3
2023-12-12,12.4,0.0,33.8,36.5,32.7
2023-12-13,12.4,0.0,34.3,38.3,32.2
2023-12-14,12.6,0.0,35.4,38.5,33.4
2023-12-15,12.6,0.0,37.0,40.1,35.4
2023-12-16,12.6,0.0,35.2,37.0,32.7
2023-12-17,12.6,0.0,35.1,38.3,33.4
2023-12-18,12.6,0.0,36.3,39.0,33.4
2023-12-19,12.6,0.0,39.7,43.9,35.8
2023-12-20,12.6,0.0,40.1,42.1,38.1
2023-12-21,12.6,0.0,39.7,44.8,36.9
2023-12-22,12.8,0.0,39.7,44.6,35.2
2023-12-23,12.8,0.0,33.6,37.0,31.1
2023-12-24,12.8,0.0,32.5,39.2,28.2
2023-12-25,12.8,0.0,35.8,42.3,30.9
2023-12-26,13.1,0.0,37.4,42.1,34.7
2023-12-27,13.2,0.0,38.1,42.4,34.2
2023-12-28,13.3,0.0,40.5,44.2,38.3
2023-12-29,13.3,0.0,39.0,42.4,36.1
2023-12-30,13.3,0.0,39.7,42.3,36.0
2023-12-31,13.3,0.0,,,
2024-01-01,13.3,0.0,35.2,38.3,32.5
2024-01-02,13.3,0.0,34.5,36.7,32.2
2024-01-03,13.3,0.0,36.7,38.8,34.3
2024-01-04,13.4,0.0,38.7,45.1,32.2
2024-01-05,13.4,0.0,37.4,44.1,31.5
2024-01-06,13.8,0.0,35.8,39.2,33.6
2024-01-07,13.8,0.0,32.2,34.5,29.5
2024-01-08,14.2,5.0,31.6,34.2,29.1
