"nrcs_id","forecast_year","year","month_flow","flow","site_id","maxFLOWcor_month","maxFLOWcor","date","forecast_month","forecast_issue","maxFLOWcor_value","date_flow"
"150028:CA:USGS",1960,1959,10,NA,"boise_r_nr_boise",4,"NO",1959-10-15,1,NA,NA,1959-10-31
"150028:CA:USGS",1960,1959,10,NA,"boysen_reservoir_inflow",3,"NO",1959-10-15,1,NA,NA,1959-10-31
"150028:CA:USGS",1960,1959,10,NA,"dillon_reservoir_inflow",3,"NO",1959-10-15,1,NA,NA,1959-10-31
"150028:CA:USGS",1960,1959,10,NA,"fontenelle_reservoir_inflow",3,"NO",1959-10-15,1,NA,NA,1959-10-31
"150028:CA:USGS",1960,1959,10,NA,"weber_r_nr_oakley",3,"NO",1959-10-15,1,NA,NA,1959-10-31
"10333000:NV:USGS",1960,1959,10,0.686,"owyhee_r_bl_owyhee_dam",5,"NO",1959-10-15,1,NA,NA,1959-10-31
"14113000:WA:USGS",1960,1959,10,68.759,"stehekin_r_at_stehekin",5,"NO",1959-10-15,1,NA,NA,1959-10-31
"14150000:OR:USGS",1960,1959,10,85.9,"detroit_lake_inflow",4,"NO",1959-10-15,1,NA,NA,1959-10-31
"12413000:ID:USGS",1960,1959,10,54.149,"green_r_bl_howard_a_hanson_dam",5,"NO",1959-10-15,1,NA,NA,1959-10-31
"09349800:CO:USGS",1960,1959,10,9.9,"pueblo_reservoir_inflow",2,"NO",1959-10-15,1,NA,NA,1959-10-31
"09379500:UT:USGS",1960,1959,10,98.258,"animas_r_at_durango",5,"NO",1959-10-15,1,NA,NA,1959-10-31
"08316000:NM:USGS",1960,1959,10,NA,"pecos_r_nr_pecos",5,"NO",1959-10-15,1,NA,NA,1959-10-31
"10150500:UT:USGS",1960,1959,10,2.745,"ruedi_reservoir_inflow",5,"NO",1959-10-15,1,NA,NA,1959-10-31
"10166605:UT:USGS",1960,1959,10,NA,"taylor_park_reservoir_inflow",5,"NO",1959-10-15,1,NA,NA,1959-10-31
"150028:CA:USGS",1960,1959,11,NA,"boise_r_nr_boise",4,"NO",1959-11-15,1,NA,NA,1959-11-30
"150028:CA:USGS",1960,1959,11,NA,"boysen_reservoir_inflow",3,"NO",1959-11-15,1,NA,NA,1959-11-30
"150028:CA:USGS",1960,1959,11,NA,"dillon_reservoir_inflow",3,"NO",1959-11-15,1,NA,NA,1959-11-30
"150028:CA:USGS",1960,1959,11,NA,"fontenelle_reservoir_inflow",3,"NO",1959-11-15,1,NA,NA,1959-11-30
"150028:CA:USGS",1960,1959,11,NA,"weber_r_nr_oakley",3,"NO",1959-11-15,1,NA,NA,1959-11-30
"10333000:NV:USGS",1960,1959,11,0.811,"owyhee_r_bl_owyhee_dam",5,"NO",1959-11-15,1,NA,NA,1959-11-30
"14113000:WA:USGS",1960,1959,11,67.218,"stehekin_r_at_stehekin",5,"NO",1959-11-15,1,NA,NA,1959-11-30
"14150000:OR:USGS",1960,1959,11,78.2,"detroit_lake_inflow",4,"NO",1959-11-15,1,NA,NA,1959-11-30
"12413000:ID:USGS",1960,1959,11,168.169,"green_r_bl_howard_a_hanson_dam",5,"NO",1959-11-15,1,NA,NA,1959-11-30
"09349800:CO:USGS",1960,1959,11,9.8,"pueblo_reservoir_inflow",2,"NO",1959-11-15,1,NA,NA,1959-11-30
"09379500:UT:USGS",1960,1959,11,91.136,"animas_r_at_durango",5,"NO",1959-11-15,1,NA,NA,1959-11-30
"08316000:NM:USGS",1960,1959,11,NA,"pecos_r_nr_pecos",5,"NO",1959-11-15,1,NA,NA,1959-11-30
"10150500:UT:USGS",1960,1959,11,2.378,"ruedi_reservoir_inflow",5,"NO",1959-11-15,1,NA,NA,1959-11-30
"10166605:UT:USGS",1960,1959,11,NA,"taylor_park_reservoir_inflow",5,"NO",1959-11-15,1,NA,NA,1959-11-30
"150028:CA:USGS",1960,1959,12,NA,"boise_r_nr_boise",4,"NO",1959-12-15,1,NA,NA,1959-12-31
"150028:CA:USGS",1960,1959,12,NA,"boysen_reservoir_inflow",3,"NO",1959-12-15,1,NA,NA,1959-12-31
"150028:CA:USGS",1960,1959,12,NA,"dillon_reservoir_inflow",3,"NO",1959-12-15,1,NA,NA,1959-12-31
"150028:CA:USGS",1960,1959,12,NA,"fontenelle_reservoir_inflow",3,"NO",1959-12-15,1,NA,NA,1959-12-31
"150028:CA:USGS",1960,1959,12,NA,"weber_r_nr_oakley",3,"NO",1959-12-15,1,NA,NA,1959-12-31
"10333000:NV:USGS",1960,1959,12,0.797,"owyhee_r_bl_owyhee_dam",5,"NO",1959-12-15,1,NA,NA,1959-12-31
"14113000:WA:USGS",1960,1959,12,59.897,"stehekin_r_at_stehekin",5,"NO",1959-12-15,1,NA,NA,1959-12-31
"14150000:OR:USGS",1960,1959,12,78.8,"detroit_lake_inflow",4,"NO",1959-12-15,1,NA,NA,1959-12-31
"12413000:ID:USGS",1960,1959,12,123.808,"green_r_bl_howard_a_hanson_dam",5,"NO",1959-12-15,1,NA,NA,1959-12-31
"09349800:CO:USGS",1960,1959,12,6,"pueblo_reservoir_inflow",2,"NO",1959-12-15,1,NA,NA,1959-12-31
"09379500:UT:USGS",1960,1959,12,49.586,"animas_r_at_durango",5,"NO",1959-12-15,1,NA,NA,1959-12-31
"08316000:NM:USGS",1960,1959,12,NA,"pecos_r_nr_pecos",5,"NO",1959-12-15,1,NA,NA,1959-12-31
"10150500:UT:USGS",1960,1959,12,2.382,"ruedi_reservoir_inflow",5,"NO",1959-12-15,1,NA,NA,1959-12-31
"10166605:UT:USGS",1960,1959,12,NA,"taylor_park_reservoir_inflow",5,"NO",1959-12-15,1,NA,NA,1959-12-31
"150028:CA:USGS",1960,1960,1,NA,"boise_r_nr_boise",4,"NO",1960-01-15,2,NA,NA,1960-01-31
"150028:CA:USGS",1960,1960,1,NA,"boysen_reservoir_inflow",3,"NO",1960-01-15,2,NA,NA,1960-01-31
"150028:CA:USGS",1960,1960,1,NA,"dillon_reservoir_inflow",3,"NO",1960-01-15,2,NA,NA,1960-01-31
"150028:CA:USGS",1960,1960,1,NA,"fontenelle_reservoir_inflow",3,"NO",1960-01-15,2,NA,NA,1960-01-31
"150028:CA:USGS",1960,1960,1,NA,"weber_r_nr_oakley",3,"NO",1960-01-15,2,NA,NA,1960-01-31
"10333000:NV:USGS",1960,1960,1,0.803,"owyhee_r_bl_owyhee_dam",5,"NO",1960-01-15,2,NA,NA,1960-01-31
"14113000:WA:USGS",1960,1960,1,49.402,"stehekin_r_at_stehekin",5,"NO",1960-01-15,2,NA,NA,1960-01-31
"14150000:OR:USGS",1960,1960,1,119.1,"detroit_lake_inflow",4,"NO",1960-01-15,2,NA,NA,1960-01-31
"12413000:ID:USGS",1960,1960,1,51.249,"green_r_bl_howard_a_hanson_dam",5,"NO",1960-01-15,2,NA,NA,1960-01-31
"09349800:CO:USGS",1960,1960,1,4,"pueblo_reservoir_inflow",2,"NO",1960-01-15,2,NA,NA,1960-01-31
"09379500:UT:USGS",1960,1960,1,39.174,"animas_r_at_durango",5,"NO",1960-01-15,2,NA,NA,1960-01-31
"08316000:NM:USGS",1960,1960,1,NA,"pecos_r_nr_pecos",5,"NO",1960-01-15,2,NA,NA,1960-01-31
"10150500:UT:USGS",1960,1960,1,2.747,"ruedi_reservoir_inflow",5,"NO",1960-01-15,2,NA,NA,1960-01-31
"10166605:UT:USGS",1960,1960,1,NA,"taylor_park_reservoir_inflow",5,"NO",1960-01-15,2,NA,NA,1960-01-31
"150028:CA:USGS",1960,1960,2,NA,"boise_r_nr_boise",4,"NO",1960-02-15,3,NA,NA,1960-02-29
"150028:CA:USGS",1960,1960,2,NA,"boysen_reservoir_inflow",3,"NO",1960-02-15,3,NA,NA,1960-02-29
"150028:CA:USGS",1960,1960,2,NA,"dillon_reservoir_inflow",3,"NO",1960-02-15,3,NA,NA,1960-02-29
"150028:CA:USGS",1960,1960,2,NA,"fontenelle_reservoir_inflow",3,"NO",1960-02-15,3,NA,NA,1960-02-29
"150028:CA:USGS",1960,1960,2,NA,"weber_r_nr_oakley",3,"NO",1960-02-15,3,NA,NA,1960-02-29
"10333000:NV:USGS",1960,1960,2,2.003,"owyhee_r_bl_owyhee_dam",5,"NO",1960-02-15,3,NA,NA,1960-02-29
"14113000:WA:USGS",1960,1960,2,89.833,"stehekin_r_at_stehekin",5,"NO",1960-02-15,3,NA,NA,1960-02-29
"14150000:OR:USGS",1960,1960,2,264.4,"detroit_lake_inflow",4,"NO",1960-02-15,3,NA,NA,1960-02-29
"12413000:ID:USGS",1960,1960,2,93.435,"green_r_bl_howard_a_hanson_dam",5,"NO",1960-02-15,3,NA,NA,1960-02-29
"09349800:CO:USGS",1960,1960,2,3.2,"pueblo_reservoir_inflow",2,"YES",1960-02-15,3,NA,3.2,1960-02-29
"09379500:UT:USGS",1960,1960,2,45.091,"animas_r_at_durango",5,"NO",1960-02-15,3,NA,3.2,1960-02-29
"08316000:NM:USGS",1960,1960,2,NA,"pecos_r_nr_pecos",5,"NO",1960-02-15,3,NA,3.2,1960-02-29
