"site_id","forecast_year","year","month_flow","flow","maxFLOWcor_month","maxFLOWcor","date","forecast_month","forecast_issue","maxFLOWcor_value","date_flow"
"hungry_horse_reservoir_inflow",1960,1959,10,282.031,1,"NO",1959-10-15,1,NA,NA,1959-10-31
"snake_r_nr_heise",1960,1959,10,246.844,3,"NO",1959-10-15,1,NA,NA,1959-10-31
"pueblo_reservoir_inflow",1960,1959,10,NA,2,"NO",1959-10-15,1,NA,NA,1959-10-31
"sweetwater_r_nr_alcova",1960,1959,10,2.059,11,"NO",1959-10-15,1,NA,NA,1959-10-31
"missouri_r_at_toston",1960,1959,10,294,2,"NO",1959-10-15,1,NA,NA,1959-10-31
"animas_r_at_durango",1960,1959,10,20.979,3,"NO",1959-10-15,1,NA,NA,1959-10-31
"yampa_r_nr_maybell",1960,1959,10,40.879,1,"NO",1959-10-15,1,NA,NA,1959-10-31
"libby_reservoir_inflow",1960,1959,10,691,2,"NO",1959-10-15,1,NA,NA,1959-10-31
"boise_r_nr_boise",1960,1959,10,87.374,3,"NO",1959-10-15,1,NA,NA,1959-10-31
"green_r_bl_howard_a_hanson_dam",1960,1959,10,125,1,"NO",1959-10-15,1,NA,NA,1959-10-31
"taylor_park_reservoir_inflow",1960,1959,10,7.3,12,"NO",1959-10-15,1,NA,NA,1959-10-31
"dillon_reservoir_inflow",1960,1959,10,6.8,1,"NO",1959-10-15,1,NA,NA,1959-10-31
"fontenelle_reservoir_inflow",1960,1959,10,NA,2,"NO",1959-10-15,1,NA,NA,1959-10-31
"weber_r_nr_oakley",1960,1959,10,6.115,3,"NO",1959-10-15,1,NA,NA,1959-10-31
"colville_r_at_kettle_falls",1960,1959,10,11.226,3,"NO",1959-10-15,1,NA,NA,1959-10-31
"stehekin_r_at_stehekin",1960,1959,10,114.916,2,"NO",1959-10-15,1,NA,NA,1959-10-31
"detroit_lake_inflow",1960,1959,10,NA,3,"NO",1959-10-15,1,NA,NA,1959-10-31
"virgin_r_at_virtin",1960,1959,10,4.562,3,"NO",1959-10-15,1,NA,NA,1959-10-31
"skagit_ross_reservoir",1960,1959,10,256.17,3,"NO",1959-10-15,1,NA,NA,1959-10-31
"boysen_reservoir_inflow",1960,1959,10,59.248,1,"NO",1959-10-15,1,NA,NA,1959-10-31
"pecos_r_nr_pecos",1960,1959,10,2.051,3,"NO",1959-10-15,1,NA,NA,1959-10-31
"owyhee_r_bl_owyhee_dam",1960,1959,10,14.184,3,"NO",1959-10-15,1,NA,NA,1959-10-31
"hungry_horse_reservoir_inflow",1960,1959,11,209.002,1,"NO",1959-11-15,1,NA,NA,1959-11-30
"snake_r_nr_heise",1960,1959,11,189.05,3,"NO",1959-11-15,1,NA,NA,1959-11-30
