"date","site_id","SWE_swann","issue_date","month","forecast_year","forecast_issue"
1982-12-31,"hungry_horse_reservoir_inflow",241.425675675676,1983-01-01,12,1983,"1-01"
1983-01-07,"hungry_horse_reservoir_inflow",311.287162162162,1983-01-08,1,1983,"1-08"
1983-01-14,"hungry_horse_reservoir_inflow",342.39527027027,1983-01-15,1,1983,"1-15"
1983-01-21,"hungry_horse_reservoir_inflow",353.756756756757,1983-01-22,1,1983,"1-22"
1983-01-31,"hungry_horse_reservoir_inflow",373.060810810811,1983-02-01,1,1983,"2-01"
1983-02-07,"hungry_horse_reservoir_inflow",385.246621621622,1983-02-08,2,1983,"2-08"
1983-02-14,"hungry_horse_reservoir_inflow",399.516891891892,1983-02-15,2,1983,"2-15"
1983-02-21,"hungry_horse_reservoir_inflow",431.435810810811,1983-02-22,2,1983,"2-22"
1983-02-28,"hungry_horse_reservoir_inflow",438.027027027027,1983-03-01,2,1983,"3-01"
1983-03-07,"hungry_horse_reservoir_inflow",457.722972972973,1983-03-08,3,1983,"3-08"
1983-03-14,"hungry_horse_reservoir_inflow",476.77027027027,1983-03-15,3,1983,"3-15"
1983-03-21,"hungry_horse_reservoir_inflow",486.469594594595,1983-03-22,3,1983,"3-22"
1983-03-31,"hungry_horse_reservoir_inflow",420.493243243243,1983-04-01,3,1983,"4-01"
1983-04-07,"hungry_horse_reservoir_inflow",493.236486486487,1983-04-08,4,1983,"4-08"
1983-04-14,"hungry_horse_reservoir_inflow",494.783783783784,1983-04-15,4,1983,"4-15"
1983-04-21,"hungry_horse_reservoir_inflow",519.331081081081,1983-04-22,4,1983,"4-22"
1983-04-30,"hungry_horse_reservoir_inflow",489.584459459459,1983-05-01,4,1983,"5-01"
1983-05-07,"hungry_horse_reservoir_inflow",450.239864864865,1983-05-08,5,1983,"5-08"
1983-05-14,"hungry_horse_reservoir_inflow",485.064189189189,1983-05-15,5,1983,"5-15"
1983-05-21,"hungry_horse_reservoir_inflow",422.398648648649,1983-05-22,5,1983,"5-22"
1983-05-31,"hungry_horse_reservoir_inflow",167.222972972973,1983-06-01,5,1983,"6-01"
1983-06-07,"hungry_horse_reservoir_inflow",101.557432432432,1983-06-08,6,1983,"6-08"
1983-06-14,"hungry_horse_reservoir_inflow",58.9054054054054,1983-06-15,6,1983,"6-15"
1983-06-21,"hungry_horse_reservoir_inflow",36.527027027027,1983-06-22,6,1983,"6-22"
1983-06-30,"hungry_horse_reservoir_inflow",10.9358108108108,1983-07-01,6,1983,"7-01"
1983-07-07,"hungry_horse_reservoir_inflow",3.62837837837838,1983-07-08,7,1983,"7-08"
1983-07-14,"hungry_horse_reservoir_inflow",0.138513513513514,1983-07-15,7,1983,"7-15"
1983-07-21,"hungry_horse_reservoir_inflow",0,1983-07-22,7,1983,"7-22"
1983-12-31,"hungry_horse_reservoir_inflow",204.908783783784,1984-01-01,12,1984,"1-01"
1984-01-07,"hungry_horse_reservoir_inflow",222.314189189189,1984-01-08,1,1984,"1-08"
1984-01-14,"hungry_horse_reservoir_inflow",243.996621621622,1984-01-15,1,1984,"1-15"
1984-01-21,"hungry_horse_reservoir_inflow",251.418918918919,1984-01-22,1,1984,"1-22"
1984-01-31,"hungry_horse_reservoir_inflow",288.35472972973,1984-02-01,1,1984,"2-01"
1984-02-07,"hungry_horse_reservoir_inflow",309.817567567568,1984-02-08,2,1984,"2-08"
1984-02-14,"hungry_horse_reservoir_inflow",326.081081081081,1984-02-15,2,1984,"2-15"
1984-02-21,"hungry_horse_reservoir_inflow",312.155405405405,1984-02-22,2,1984,"2-22"
1984-02-29,"hungry_horse_reservoir_inflow",357.570945945946,1984-03-01,2,1984,"3-01"
1984-03-07,"hungry_horse_reservoir_inflow",362.702702702703,1984-03-08,3,1984,"3-08"
1984-03-14,"hungry_horse_reservoir_inflow",390.540540540541,1984-03-15,3,1984,"3-15"
1984-03-21,"hungry_horse_reservoir_inflow",419.351351351351,1984-03-22,3,1984,"3-22"
1984-03-31,"hungry_horse_reservoir_inflow",403.469594594595,1984-04-01,3,1984,"4-01"
1984-04-07,"hungry_horse_reservoir_inflow",415.206081081081,1984-04-08,4,1984,"4-08"
1984-04-14,"hungry_horse_reservoir_inflow",433.817567567568,1984-04-15,4,1984,"4-15"
1984-04-21,"hungry_horse_reservoir_inflow",426.743243243243,1984-04-22,4,1984,"4-22"
1984-04-30,"hungry_horse_reservoir_inflow",432.398648648649,1984-05-01,4,1984,"5-01"
1984-05-07,"hungry_horse_reservoir_inflow",431.746621621622,1984-05-08,5,1984,"5-08"
1984-05-14,"hungry_horse_reservoir_inflow",388.658783783784,1984-05-15,5,1984,"5-15"
1984-05-21,"hungry_horse_reservoir_inflow",339.293918918919,1984-05-22,5,1984,"5-22"
1984-05-31,"hungry_horse_reservoir_inflow",228.685810810811,1984-06-01,5,1984,"6-01"
1984-06-07,"hungry_horse_reservoir_inflow",184.243243243243,1984-06-08,6,1984,"6-08"
1984-06-14,"hungry_horse_reservoir_inflow",145.337837837838,1984-06-15,6,1984,"6-15"
1984-06-21,"hungry_horse_reservoir_inflow",63.2027027027027,1984-06-22,6,1984,"6-22"
1984-06-30,"hungry_horse_reservoir_inflow",9.08445945945946,1984-07-01,6,1984,"7-01"
1984-07-07,"hungry_horse_reservoir_inflow",0.655405405405405,1984-07-08,7,1984,"7-08"
1984-07-14,"hungry_horse_reservoir_inflow",0,1984-07-15,7,1984,"7-15"
1984-07-21,"hungry_horse_reservoir_inflow",0,1984-07-22,7,1984,"7-22"
1984-12-31,"hungry_horse_reservoir_inflow",379.25,1985-01-01,12,1985,"1-01"
1985-01-07,"hungry_horse_reservoir_inflow",382.949324324324,1985-01-08,1,1985,"1-08"
